RP23-100C5.1	ETG51792	Ptpra	Ppp2r1a	Rptpalpha|Ptpa|PTPalpha|RPTRalpha|Rptra	6330556D22Rik|PP2A|PR65	Affinity Capture-Western	Fellner T (2003)	12952889	10090	10090
ETG51792	RP23-100C5.1	Ppp2r1a	Ptpra	6330556D22Rik|PP2A|PR65	Rptpalpha|Ptpa|PTPalpha|RPTRalpha|Rptra	Affinity Capture-Western	Fellner T (2003)	12952889	10090	10090
RP23-33N15.1	ETG56210	Pcna	Rev1	N/A	1110027I23Rik|AU022044|Rev1l	Affinity Capture-Western	Guo C (2006)	16857592	10090	10090
RP23-33N15.1	ETG56210	Pcna	Rev1	N/A	1110027I23Rik|AU022044|Rev1l	Co-purification	Guo C (2006)	16857592	10090	10090
ETG66682	RP23-118D1.2	Trappc5	Trappc3	TRS31|4021401A16Rik	AU019197|AI835942|1110058K12Rik|Bet3	Co-purification	Menon S (2006)	17027922	10090	10090
RP23-408K4.2	RP23-118D1.2	Trappc2	Trappc3	1110066L09Rik|AW496358|1810064C02Rik|Sedl|MIP-2A|TRS20	AU019197|AI835942|1110058K12Rik|Bet3	Co-purification	Menon S (2006)	17027922	10090	10090
RP23-408K4.2	ETG66682	Trappc2	Trappc5	1110066L09Rik|AW496358|1810064C02Rik|Sedl|MIP-2A|TRS20	TRS31|4021401A16Rik	Co-purification	Menon S (2006)	17027922	10090	10090
RP23-118D1.2	RP23-26L6.10-004	Trappc3	Trappc1	AU019197|AI835942|1110058K12Rik|Bet3	BET5|MUM2|D11Ertd172e	Reconstituted Complex	Menon S (2006)	17027922	10090	10090
RP23-118D1.2	RP23-26L6.10-004	Trappc3	Trappc1	AU019197|AI835942|1110058K12Rik|Bet3	BET5|MUM2|D11Ertd172e	Co-purification	Menon S (2006)	17027922	10090	10090
ETG60409	RP23-26L6.10-004	Trappc4	Trappc1	PTD009|Sbdn|1500017G03Rik|Sdcbp2|AI303617|TRS23|Sbd|HSPC172	BET5|MUM2|D11Ertd172e	Co-fractionation	Menon S (2006)	17027922	10090	10090
RP23-395E10.8	RP23-97O7.5	Msl1	Ttc4	Msl-1|AA682082|2810017F12Rik|4930463F05Rik|4121402D02Rik	2810002P21Rik|AF007005|L62	Two-hybrid	Dmitriev RI (2007)	17335777	10090	10090
RP23-395E10.8	ETG68845	Msl1	Pih1d1	Msl-1|AA682082|2810017F12Rik|4930463F05Rik|4121402D02Rik	4933413A04Rik|1110061L23Rik|Nop17	Two-hybrid	Dmitriev RI (2007)	17335777	10090	10090
RP23-395E10.8	ETG67773	Msl1	Myst1	Msl-1|AA682082|2810017F12Rik|4930463F05Rik|4121402D02Rik	2010203C02Rik|MOF|KAT8|5830450F21Rik|D7Ertd629e	Two-hybrid	Dmitriev RI (2007)	17335777	10090	10090
ETG67773	RP23-395E10.8	Myst1	Msl1	2010203C02Rik|MOF|KAT8|5830450F21Rik|D7Ertd629e	Msl-1|AA682082|2810017F12Rik|4930463F05Rik|4121402D02Rik	Two-hybrid	Dmitriev RI (2007)	17335777	10090	10090
ETG67773	RP23-59M10.1	Myst1	Th1l	2010203C02Rik|MOF|KAT8|5830450F21Rik|D7Ertd629e	Th1|C77797|2410003I03Rik	Two-hybrid	Dmitriev RI (2007)	17335777	10090	10090
AL672219.1	ETG50849	Rassf1	Rnf10	Rassf1A|NORE2A|AU044980|REH3P21|RDA32|Rassf1C|AA536941|Rassf1B|123F2	AA675014|mKIAA0262|RIE2	Two-hybrid	Dmitriev RI (2007)	17335777	10090	10090
ETG18771	ETG18515	Pknox1	Pbx2	PREP1|D17Wsu76e	G17|AU043397	Affinity Capture-MS	Diaz VM (2007)	17623278	10090	10090
ETG18771	ETG11461	Pknox1	Actb	PREP1|D17Wsu76e	E430023M04Rik|beta-actin|Actx	Affinity Capture-MS	Diaz VM (2007)	17623278	10090	10090
ETG18771	RP23-48A2.3	Pknox1	Mybbp1a	PREP1|D17Wsu76e	p160MBP|p67MBP|P160|AU019902|AL024407	Affinity Capture-MS	Diaz VM (2007)	17623278	10090	10090
ETG18771	AL583886.1	Pknox1	Myh9	PREP1|D17Wsu76e	NMMHC-IIA|NMHC II-A|TU72.6|C80049|Myhn1|D0Jmb2|NMMHC-A|Myhn-1|NMMHC II-a|NMHCIIA|Fltn|E030044M24Rik	Affinity Capture-MS	Diaz VM (2007)	17623278	10090	10090
ETG18771	ETG18514	Pknox1	Pbx1	PREP1|D17Wsu76e	AU015730|Pbx-1|2310056B04Rik|D230003C07Rik|AI848790	Affinity Capture-MS	Diaz VM (2007)	17623278	10090	10090
ETG18771	ETG20091	Pknox1	Rps3a	PREP1|D17Wsu76e	N/A	Affinity Capture-MS	Diaz VM (2007)	17623278	10090	10090
ETG21417	ETG13016	Zeb1	Ctbp1	Tcf8|Zfhx1a|MEB1|BZP|3110032K11Rik|AREB6|Zfhep|Tw|ZEB|Tcf18|Zfx1ha|TCF-8|Zfx1a|Nil2|[delta]EF1	CtBP1-S|D5H4S115E|BARS|D5H4S115|D4S115h|CtBP3/BARS|CtBP1-L	Two-hybrid	Furusawa T (1999)	10567582	10090	10090
ETG21417	ETG13017	Zeb1	Ctbp2	Tcf8|Zfhx1a|MEB1|BZP|3110032K11Rik|AREB6|Zfhep|Tw|ZEB|Tcf18|Zfx1ha|TCF-8|Zfx1a|Nil2|[delta]EF1	D7Ertd45e|Ribeye|AA407280|Gtrgeo6	Two-hybrid	Furusawa T (1999)	10567582	10090	10090
RP23-132N23.17-001	RP24-558L14.1	Anapc2	Invs	9230107K09Rik|mKIAA1406|Imi4|AL024279|APC2|Emi4	Nphp2|inv|AI428552|AW455512	Affinity Capture-Western	Morgan D (2002)	12471060	10090	10090
RP23-132N23.17-001	RP24-558L14.1	Anapc2	Invs	9230107K09Rik|mKIAA1406|Imi4|AL024279|APC2|Emi4	Nphp2|inv|AI428552|AW455512	Two-hybrid	Morgan D (2002)	12471060	10090	10090
ETG67923	ETG12703	Tceb1	Socs1	AA407206|2610043E24Rik|AI987979|AW049146|2610301I15Rik	SSI-1|Cish1|JAB|Cish7|SOCS-1	Affinity Capture-Western	Limnander A (2004)	15304214	10090	10090
RP23-94L18.2	ETG12387	Ptprf	Ctnnb1	RPTP-LAR|AA591035|LARS|LAR	Catnb|Bfc|Mesc	Affinity Capture-Western	Kypta RM (1996)	8830779	10090	10090
RP23-28I4.1	ETG12402	Grb2	Cbl	Ash|AA408164	4732447J05Rik|cbl|c-Cbl|Cbl-2	Affinity Capture-Western	Jain SK (1997)	9174058	10090	10090
ETG18708	ETG12402	Pik3r1	Cbl	p55alpha|AA414921|C530050K14|p85alpha|PI3K|p50alpha	4732447J05Rik|cbl|c-Cbl|Cbl-2	Affinity Capture-Western	Jain SK (1997)	9174058	10090	10090
ETG21417	ETG13017	Zeb1	Ctbp2	Tcf8|Zfhx1a|MEB1|BZP|3110032K11Rik|AREB6|Zfhep|Tw|ZEB|Tcf18|Zfx1ha|TCF-8|Zfx1a|Nil2|[delta]EF1	D7Ertd45e|Ribeye|AA407280|Gtrgeo6	Two-hybrid	van Grunsven LA (2003)	12714599	10090	10090
ETG66603	ETG13017	Sip1	Ctbp2	1700012N19Rik|Gemin2	D7Ertd45e|Ribeye|AA407280|Gtrgeo6	Two-hybrid	van Grunsven LA (2003)	12714599	10090	10090
ETG11431	ETG12387	Acp1	Ctnnb1	Acp-1|AI427468|LMW-PTP|4632432E04Rik	Catnb|Bfc|Mesc	Affinity Capture-Western	Taddei ML (2002)	12438242	10090	10090
ETG11789	ETG212307	Apc	Mapre2	AU020952|AI047805|CC1|Min|mAPC|AW124434	AI314113|C820009F03Rik|EB1|D18Abb1e|EB2|RP1	Co-localization	Zhou FQ (2004)	15207235	10090	10090
ETG11789	ETG17829	Apc	Muc1	AU020952|AI047805|CC1|Min|mAPC|AW124434	EMA|Muc-1|CD227	Co-localization	Hattrup CL (2004)	15020226	10090	10090
RP23-28I4.1	ETG18708	Grb2	Pik3r1	Ash|AA408164	p55alpha|AA414921|C530050K14|p85alpha|PI3K|p50alpha	Affinity Capture-Western	Jain SK (1997)	9174058	10090	10090
RP23-28I4.1	ETG18708	Grb2	Pik3r1	Ash|AA408164	p55alpha|AA414921|C530050K14|p85alpha|PI3K|p50alpha	Reconstituted Complex	Jain SK (1997)	9174058	10090	10090
ETG12043	ETG14083	Bcl2	Ptk2	AW986256|D830018M01Rik|D630044D05Rik|Bcl-2|C430015F12Rik	FAK|Fadk|mKIAA4203|FRNK	Affinity Capture-Western	Sorenson CM (1999)	10417825	10090	10090
ETG66603	ETG17129	Sip1	Smad5	1700012N19Rik|Gemin2	MusMLP|Madh5|AI451355|1110051M15Rik|Dwf-C	Two-hybrid	van Grunsven LA (2003)	12714599	10090	10090
ETG15504	RP23-130L11.1	Dnajb3	Usp8	Msj1|MSJ-1|Hsj3	AI574262|AW557536|mKIAA0055|Ubpy	Far Western	Berruti G (2005)	15342353	10090	10090
ETG15504	RP23-130L11.1	Dnajb3	Usp8	Msj1|MSJ-1|Hsj3	AI574262|AW557536|mKIAA0055|Ubpy	Reconstituted Complex	Berruti G (2005)	15342353	10090	10090
ETG12753	RP23-26L6.6	Clock	Per1	bHLHe8|mKIAA0334|5330400M04Rik|KAT13D	m-rigui|mPer1|Per	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG12753	ETG18627	Clock	Per2	bHLHe8|mKIAA0334|5330400M04Rik|KAT13D	mPer2|mKIAA0347	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG12753	RP23-455G15.2	Clock	Per3	bHLHe8|mKIAA0334|5330400M04Rik|KAT13D	mPer3|2810049O06Rik	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG12753	ETG12952	Clock	Cry1	bHLHe8|mKIAA0334|5330400M04Rik|KAT13D	AU020726|AU021000|Phll1	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG12753	RP23-316M14.8	Clock	Cry2	bHLHe8|mKIAA0334|5330400M04Rik|KAT13D	AV006279|D130054K12Rik	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG11865	ETG12753	Arntl	Clock	Arnt3|Bmal1|MOP3|BMAL1b|bHLHe5|bmal1b	bHLHe8|mKIAA0334|5330400M04Rik|KAT13D	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG11865	RP23-26L6.6	Arntl	Per1	Arnt3|Bmal1|MOP3|BMAL1b|bHLHe5|bmal1b	m-rigui|mPer1|Per	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG11865	ETG18627	Arntl	Per2	Arnt3|Bmal1|MOP3|BMAL1b|bHLHe5|bmal1b	mPer2|mKIAA0347	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG11865	RP23-455G15.2	Arntl	Per3	Arnt3|Bmal1|MOP3|BMAL1b|bHLHe5|bmal1b	mPer3|2810049O06Rik	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG11865	ETG12952	Arntl	Cry1	Arnt3|Bmal1|MOP3|BMAL1b|bHLHe5|bmal1b	AU020726|AU021000|Phll1	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG11865	RP23-316M14.8	Arntl	Cry2	Arnt3|Bmal1|MOP3|BMAL1b|bHLHe5|bmal1b	AV006279|D130054K12Rik	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
RP23-26L6.6	ETG12753	Per1	Clock	m-rigui|mPer1|Per	bHLHe8|mKIAA0334|5330400M04Rik|KAT13D	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
RP23-26L6.6	ETG18627	Per1	Per2	m-rigui|mPer1|Per	mPer2|mKIAA0347	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
RP23-26L6.6	RP23-455G15.2	Per1	Per3	m-rigui|mPer1|Per	mPer3|2810049O06Rik	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
RP23-26L6.6	ETG12952	Per1	Cry1	m-rigui|mPer1|Per	AU020726|AU021000|Phll1	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
RP23-26L6.6	RP23-316M14.8	Per1	Cry2	m-rigui|mPer1|Per	AV006279|D130054K12Rik	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG18627	ETG12753	Per2	Clock	mPer2|mKIAA0347	bHLHe8|mKIAA0334|5330400M04Rik|KAT13D	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG18627	RP23-26L6.6	Per2	Per1	mPer2|mKIAA0347	m-rigui|mPer1|Per	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
