GENE	Cond1	Cond2
VNG1951G	-0.154	-0.184
VNG1659G	-0.109	-0.190
VNG1282G	-0.125	-0.144
VNG0318G	 0.005	-0.004
VNG6232G	-0.117	-0.133
VNG0690C	 0.053	 0.029
VNG5076G	-0.238	-0.391
VNG0652H	-0.172	-0.203
VNG5175H	-0.336	-0.139
VNG2632G	-0.163	-0.189
VNG0162G	 0.161	 0.002
VNG0617H	-0.122	-0.197
VNG0030H	-0.157	-0.178
VNG1767G	 0.020	 0.150
VNG2291G	-0.128	-0.142
VNG2181G	 0.042	 0.132
VNG2603H	 0.140	 0.042
VNG1929G	-0.078	-0.034
VNG0729H	-0.193	-0.173
VNG2521H	-0.097	-0.130
VNG6186H	-0.170	-0.183
VNG0633G	-0.065	-0.093
VNG0112H	-0.150	-0.141
VNG0793G	-0.016	-0.147
VNG2567C	-0.005	-0.003
VNG0156C	-0.113	-0.137
VNG1208G	-0.183	-0.238
VNG2451H	-0.022	 0.064
VNG1401C	-0.059	-0.025
VNG0261H	-0.174	-0.261
VNG1047H	-0.033	-0.060
VNG0227H	 0.096	 0.051
VNG2468C	-0.024	-0.018
VNG0872G	-0.004	 0.040
VNG0407H	 0.137	 0.171
VNG2074H	-0.137	-0.163
VNG0473G	 0.073	 0.263
VNG2563H	 0.015	 0.047
VNG2087G	 0.073	 0.117
VNG0324G	-0.075	-0.057
VNG0527C	-0.116	-0.063
VNG2473G	-0.086	-0.206
VNG1751H	-0.154	-0.147
VNG0916G	-0.106	-0.140
VNG1976H	 0.061	 0.010
VNG1891H	-0.150	-0.140
VNG2174H	-0.197	-0.206
VNG1749G	-0.019	 0.034
VNG2249G	-0.082	-0.103
VNG0175G	 0.014	 0.010
VNG2587C	-0.034	-0.004
VNG2581H	-0.462	-0.339
VNG2447G	 0.268	 0.292
VNG1068G	 0.040	 0.047
VNG0058H	 0.183	 0.181
VNG1616C	-0.001	 0.062
VNG0963G	-0.060	 0.030
VNG0556G	-0.197	-0.253
VNG1513H	-0.017	 0.028
VNG5197H	-0.150	-0.186
VNG5090C	-0.017	-0.055
VNG1156G	-0.101	-0.139
VNG1889H	 0.148	 0.188
VNG0507C	-0.105	-0.042
VNG5098C	-0.079	-0.102
VNG2117C	-0.106	-0.043
VNG2190G	 0.083	 0.116
VNG0099G	-0.116	 0.141
VNG0819C	-0.139	-0.152
VNG1898C	-0.019	-0.182
VNG0504G	-0.083	-0.044
VNG0115G	-0.144	-0.203
VNG6287H	-0.105	-0.138
VNG2650G	 0.072	 0.072
VNG0901G	 0.003	 0.034
VNG0401G	-0.024	 0.122
VNG1437G	-0.036	-0.048
VNG0885G	-0.076	-0.093
VNG1406G	-0.018	-0.014
VNG6321H	 0.167	 0.141
VNG5075C	-0.160	-0.230
VNG0650C	-0.160	-0.141
VNG0154G	-0.182	-0.179
VNG1995C	 0.091	 0.065
VNG1834G	-0.094	-0.084
VNG5132H	 0.035	 0.005
VNG1480C	-0.119	-0.112
VNG6397H	-0.137	-0.162
VNG1261H	 0.048	 0.006
VNG0796G	-0.015	-0.181
VNG0391C	-0.062	-0.076
VNG1375C	-0.131	-0.120
VNG0707C	-0.130	-0.159
VNG5112H	-0.126	-0.144
VNG1017H	-0.119	-0.193
VNG1511C	-0.033	 0.086
VNG6240G	 0.034	 0.019
VNG2584C	 0.089	 0.114
VNG1648G	-0.146	-0.176
VNG6319H	-0.021	-0.047
VNG0136G	 0.005	-0.015
VNG2097C	-0.046	-0.088
VNG1097G	 0.006	 0.036
VNG0750C	-0.172	-0.276
VNG2071G	-0.124	-0.142
VNG1756G	-0.073	 0.083
VNG0342G	 0.269	 0.254
VNG2411G	-0.071	 0.118
VNG1644G	-0.081	-0.004
VNG5203C	-0.071	-0.078
VNG0713C	-0.173	-0.202
VNG0622H	 0.117	 0.154
VNG2146H	-0.036	 0.105
VNG0775G	-0.054	-0.182
VNG1698G	 0.036	 0.319
VNG1952H	-0.040	-0.007
VNG1180G	-0.095	-0.144
VNG1984G	 0.015	 0.078
VNG2227C	 0.009	 0.022
VNG5049H	 0.171	 0.132
VNG0370H	-0.061	 0.003
VNG1181G	 0.101	 0.128
VNG1938C	-0.135	-0.139
VNG1797G	-0.153	-0.195
VNG0309C	-0.113	-0.120
VNG1314H	-0.100	-0.294
VNG2131G	-0.057	-0.046
VNG0330G	 0.105	 0.055
VNG1142G	 0.022	 0.268
VNG1168C	-0.085	-0.114
VNG2510H	-0.042	 0.026
VNG2643H	 0.112	 0.201
VNG1456H	 0.218	 0.263
VNG6237G	-0.081	-0.122
VNG0764C	-0.104	-0.087
VNG1244C	-0.048	-0.096
VNG1609C	-0.126	-0.199
VNG2262H	-0.022	-0.007
VNG1284G	-0.143	-0.178
VNG2608C	 0.008	 0.030
VNG6365H	 0.254	 0.328
VNG1417H	-0.080	-0.062
VNG1793C	-0.076	-0.069
VNG0998G	-0.116	-0.121
VNG1344G	-0.084	-0.098
VNG1066C	-0.168	-0.156
VNG6148H	-0.162	-0.122
VNG1011C	-0.131	-0.110
VNG0692C	-0.086	-0.145
VNG1886C	-0.104	-0.049
VNG1653H	 0.128	 0.304
VNG1667G	 0.088	 0.045
VNG1053G	-0.060	-0.010
VNG1762G	 0.022	-0.066
VNG1193C	-0.019	 0.038
VNG0705C	-0.103	-0.220
VNG0085G	-0.150	-0.179
VNG0096C	 0.006	-0.033
VNG1422H	-0.106	-0.140
VNG6349C	-0.162	-0.171
VNG6279G	-0.205	-0.299
VNG1987G	 0.098	 0.092
VNG1074G	-0.084	-0.094
VNG2370C	 0.173	 0.169
VNG0142C	-0.083	-0.117
VNG2189H	 0.008	 0.049
VNG6133H	 0.207	 0.344
VNG2535H	-0.128	-0.160
VNG2178H	 0.017	 0.069
VNG2204H	-0.099	-0.085
VNG5047H	-0.076	-0.083
VNG2626H	-0.097	-0.363
VNG1850G	-0.023	-0.020
VNG0457G	-0.141	-0.076
VNG2290G	-0.149	-0.138
VNG6343H	-0.147	-0.144
VNG2657G	 0.103	 0.217
VNG5145H	-0.273	-0.925
VNG6270G	-0.134	-0.016
VNG5089G	 0.040	 0.029
VNG1988G	-0.043	 0.006
VNG5019G	 0.032	 0.003
VNG1006H	 0.091	 0.082
VNG0969H	 0.074	 0.037
VNG1830G	-0.083	 0.180
VNG0149G	-0.328	-0.187
VNG1581C	-0.145	-0.149
VNG0095G	 0.032	 0.024
VNG0702H	 0.078	 0.181
VNG6406H	-0.165	-0.174
VNG1311G	-0.148	-0.171
VNG0765H	-0.005	 0.148
VNG1998H	 0.093	 0.074
VNG0988H	-0.108	-0.113
VNG1247G	-0.138	-0.150
VNG5157H	-0.178	-0.210
VNG1408G	 0.130	 0.073
VNG5154H	-0.152	-0.161
VNG1777H	 0.009	 0.043
VNG0179C	 0.015	 0.075
VNG2089H	-0.015	 0.082
VNG1561C	 0.313	 0.319
VNG6409H	-0.088	-0.118
VNG2646C	 0.080	 0.072
VNG0282H	-0.131	-0.201
VNG2543C	 0.165	 0.033
VNG1919H	-0.230	-0.146
VNG6347H	 0.079	 0.154
VNG1689G	-0.082	 0.253
VNG0065G	-0.091	-0.124
VNG2155C	-0.041	 0.031
VNG1973H	-0.069	-0.149
VNG1935C	-0.059	-0.010
VNG1132G	-0.127	 0.262
VNG0120H	-0.025	-0.001
VNG2402H	-0.057	-0.045
VNG1425H	-0.113	-0.131
VNG0272H	-0.157	-0.202
VNG0715G	-0.190	 0.014
VNG2639G	 0.038	 0.159
VNG2230H	-0.172	-0.158
VNG2220G	 0.135	-0.099
VNG1833C	-0.117	-0.142
VNG5081H	 0.053	 0.030
VNG2322G	-0.206	-0.216
VNG5194C	-0.157	-0.199
VNG1464G	-0.164	-0.195
VNG0970G	 0.003	-0.136
VNG0828H	-0.074	-0.104
VNG2385H	-0.087	-0.128
VNG6294G	-0.508	-0.275
VNG0766G	-0.083	-0.180
VNG2424G	 0.158	 0.017
VNG1497C	-0.109	-0.136
VNG1112H	-0.098	-0.050
VNG1895H	-0.017	 0.009
VNG0301C	 0.111	 0.167
VNG1461H	 0.040	 0.049
VNG2365G	 0.111	-0.054
VNG1496G	 0.290	 0.341
VNG6193H	 0.058	 0.136
VNG0990H	-0.104	-0.052
VNG1700G	-0.127	 0.092
VNG0031H	-0.163	-0.181
VNG1534H	 0.114	 0.048
VNG0384G	-0.064	-0.070
VNG1256G	-0.126	-0.141
