V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43
VNG0019H	0.00000832861283900	0.00474030552940065	0.00290273521337953	0.00001307668581212	0.00008538664115894	0.00024232181024891	0.00000000000000000	0.00110711969043913	0.00001399136582428	0.00007219059034357	0.00015092207059155	0.00000000000000000	0.00532523096773944	0.00000030214982576	0.00831216762927167	0.00024496059882044	0.00000000000000006	0.00050674281141144	0.00370576129871767	0.00105049608949076	0.00299370702797328	0.00000111367884056	0.00291516429989941	0.00178692508428077	0.00002350925217770	0.00000150981717499	0.00083696301141728	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00535041040888740	0.00131545531261322	0.00278722653386106	0.00000000000000000	0.00408301672292087	0.00047696230107943	0.00000000000000000	0.00000021563184960	0.00195235567821428	0.00078164921550052	0.00301099206551753	0.00000007959212425	0.00000000000000169
VNG0021H	0.00000000000000000	0.00590802700970754	0.00016945491176636	0.00013346910623806	0.00000047614678554	0.00000078553311333	0.00000000000000000	0.00000000000000002	0.00000174239018683	0.00005134356174975	0.00006483005424601	0.00000000000000000	0.00233268659677627	0.00005571229377600	0.00000000006901300	0.00021932869529748	0.00000000000000000	0.00014153827494876	0.00000000000000000	0.00116605377767515	0.00003667253220109	0.00000000000000000	0.00127098030095394	0.00079363952633318	0.00000000000000000	0.00000000001124022	0.00067574122432620	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00044777143436576	0.00086886441849434	0.00082293536401650	0.00000000000000000	0.00024684689583103	0.00356147620874413	0.00000000000000000	0.00000272521840393	0.00027205233609442	0.00000797975878129	0.00202384937591293	0.00000012992833323	0.00000000000004175
VNG0028C	0.00000000000000000	0.00556274764747515	0.00011935239607567	0.00248939750205027	0.00000001150783118	0.00000010121940622	0.00000057254880139	0.00000000000000000	0.00000000352718294	0.00076527085731113	0.00146123833997340	0.00000000000000022	0.00140949305556027	0.00110518979567414	0.00000000000000000	0.00653189972165047	0.00000000000000000	0.00314365907123908	0.00000000000000000	0.00313855461131740	0.00000000140461125	0.00000000000000000	0.00102048915345458	0.00038394506722277	0.00000000000000000	0.00000000000000000	0.00504616067095982	0.00000000000000000	0.00000000000000009	0.00000000000000000	0.00163686275873030	0.00348148570518316	0.00063051132884296	0.00000000000059906	0.00042836188122388	0.01024168783977223	0.00000000000003055	0.00016380678453074	0.00011511903154056	0.00000033873269586	0.00068718986307368	0.00059735324401082	0.00000000700076696
VNG0034H	0.00000000000000000	0.00136239179576065	0.00008075567584112	0.00015028035754476	0.00000284560586689	0.00001387295421594	0.00000000000000002	0.00000000000000000	0.00000258695729495	0.00516580151989179	0.00324062739743276	0.00000000000001721	0.00255100491821910	0.00055908677454273	0.00000000000000000	0.00000457676616416	0.00000000000000000	0.00001994799570614	0.00000000000000000	0.00456391924873390	0.00000000974144851	0.00000000000000000	0.00125971876907061	0.00094857840515139	0.00000000000000000	0.00000000000000000	0.00001872054507053	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000473959646285	0.00466700980727451	0.00609068765026463	0.00000000185870361	0.00080625433501194	0.00503999661489684	0.00000000000008696	0.00035985690403695	0.00317167754653625	0.00000000687851910	0.00267816197060580	0.01992462662721136	0.00000044272527157
VNG0042G	0.00000000000000000	0.00395471848672151	0.00113777280196185	0.00000364609126043	0.00001762210489664	0.00016527365719443	0.00000000000000000	0.00000000003629000	0.00000491231441223	0.00001887846791462	0.00001954619544574	0.00000000000000000	0.00267302937336868	0.00000013434204918	0.00000181265683611	0.00568179991293094	0.00000000000000000	0.00567332866557395	0.00892144157200964	0.00050416786824010	0.00075781298659584	0.02101874133743024	0.00223011852219844	0.00132972226641703	0.01396267548979757	0.01722992942935256	0.00686835690426835	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00358426822024218	0.00099163867145730	0.00035797822801517	0.00000000000000000	0.00173315098985995	0.00028453866215570	0.00000000000000000	0.00000004613555848	0.00131904094113956	0.00009110470408872	0.00092574735165120	0.00000000716701352	0.00000000000000008
VNG0049H	0.00000000000000000	0.00205270662222008	0.00005702427299895	0.00000357223941935	0.00109959205755873	0.00161924596399774	0.00000000000000000	0.00000000000000000	0.00000001361293455	0.00107806357929422	0.00019852220005894	0.00000000000000000	0.00202516266919153	0.00000875889397938	0.00000000000002197	0.00000328225333153	0.00000000000000000	0.00000958381860221	0.00000000000000000	0.00111954782453941	0.00042038289818392	0.00000000000000000	0.00055198952784050	0.00068965464778856	0.00000000000000000	0.00000000000000000	0.00002180704173861	0.00000000000000000	0.00000000000000000	0.00141901567449265	0.00003564622874287	0.00137698501094468	0.01280803114729042	0.00000000000000000	0.00045592707676495	0.00144474435485099	0.00000000000000000	0.00000248373799758	0.00081371919666438	0.00000000247315402	0.02011184940437599	0.00053393732043472	0.00000000021263281
VNG0050C	0.00000000000000074	0.00257670139146137	0.00011564922511192	0.00000556900940263	0.00005568308709570	0.00026950431408472	0.00000000000000000	0.00000000004473464	0.00000045502771346	0.00024647174318212	0.00020107904365824	0.00000000000000000	0.00195914375357372	0.00000232648960408	0.00000005504742604	0.00002302482219256	0.00000000000000000	0.00004879823464078	0.00000000000000038	0.00080196752258808	0.00035336272126637	0.00000000000000000	0.00077441849171177	0.00111095388109609	0.00000000000000000	0.00000000000000000	0.00007134257671122	0.00000000000000000	0.00000000000000000	0.00217911612669391	0.00105994829225613	0.00138286168875336	0.00828061284727185	0.00000000000000000	0.00148706920112006	0.00090682869802534	0.00000000000000000	0.00000079942314491	0.00099759523271667	0.00000159817317080	0.00560375038281974	0.00000085715184027	0.00000000000013135
VNG0053H	0.00000000000000000	0.00596411639227099	0.00007860030526093	0.00013640080688026	0.00000009456875603	0.00000136916253130	0.00000000000000000	0.00000000000000000	0.00000000285420278	0.00037233462980775	0.00031821849309678	0.00000000000000000	0.00272227607927595	0.00017035678763407	0.00000000000000179	0.00015048961457035	0.00000000000000000	0.00057290720052373	0.00000000000000000	0.00193376860283794	0.00000496286111203	0.00000000000000000	0.00073303785331825	0.00043956733839402	0.00000000000000000	0.00000000000000000	0.00059728373779651	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00170829197981102	0.00294689456277252	0.00212422355611550	0.00000000000000000	0.00043967013986715	0.00488818215578686	0.00000000000000000	0.00000433565518103	0.00039443858608922	0.00000000455464960	0.00103271897626164	0.00015620050997606	0.00000000001142526
VNG0062G	0.00000000000000000	0.00095010636249150	0.00012247531600005	0.00132623252357096	0.00000193471883624	0.00002490410396730	0.00000000627438009	0.00000015944824825	0.00000040534922246	0.00739306721826677	0.00572210473765278	0.00000000000906823	0.00061302258854817	0.00068726058964884	0.00000000000000000	0.00004277595389012	0.00000000000000000	0.00005786261281003	0.00000000000000000	0.00239260016903038	0.00000000003658181	0.00000000000000000	0.00082544945010005	0.00094380689123226	0.00000000000000000	0.00000000000000000	0.00009442896799408	0.00000000000220618	0.00000000000000000	0.00000000000000000	0.00646669773711092	0.00189707503476853	0.00363889201461273	0.00000281771639692	0.00278156812292709	0.00317832773615633	0.00000284973974152	0.00125274438095942	0.00058492312184118	0.00003419747786351	0.00088543390336441	0.00089786456187858	0.00002475664789800
VNG0064G	0.00000000000000000	0.00137780290171894	0.00002957428642153	0.00009425633556041	0.00000000942570340	0.00000003845299683	0.00000000000000000	0.00000000000000000	0.00006423920651841	0.00118404529431362	0.00251750778524541	0.00000000000000022	0.00412490379516463	0.00054470889079619	0.00000000000019935	0.00000190675564761	0.00000000000000000	0.00000384169792139	0.00000000000000000	0.00596252506349625	0.00000001294188060	0.00000000000000000	0.00141927008746482	0.00061605944977495	0.00000000000000000	0.00000000000000000	0.00000522753046658	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000048773479712	0.00663294186818401	0.00311143065132630	0.00000000000886466	0.00064431382988154	0.00703211062932542	0.00000000000000005	0.00029022595924559	0.00256966121396342	0.00000001197116438	0.00628972126808769	0.00425241940058709	0.00000000010253254
VNG0095G	0.00000000000000000	0.00101102613199255	0.00147384513137969	0.00772519903357208	0.00187604483225429	0.00191130200098570	0.00500643277706144	0.00000000878590722	0.00006797405389104	0.00650634840850447	0.00590083810967945	0.00034927522220722	0.00060621692497709	0.00563519781093907	0.00000000000000000	0.00046524688781113	0.00000000000000000	0.00020810997660597	0.00000000000000000	0.00325982707261323	0.00000000002057824	0.00000000000000000	0.00261809022765360	0.00175220931073626	0.00000000000000000	0.00000000000000000	0.00035029572027486	0.00002802220099246	0.00165054708529542	0.00000000000000000	0.00004303968773047	0.00223385148367827	0.00124236325906730	0.00219861293497692	0.00156633162335538	0.00236850489340367	0.00048902393455319	0.00547444545372809	0.00045261050886771	0.00586108930680690	0.00071319990878932	0.00336316204187052	0.00196948519559115
