Col 0	Col 1	Col 2	Col 3	Col 4	Col 5	Col 6	Col 7	Col 8	Col 9	Col 10	Col 11	Col 12	Col 13	Col 14	Col 15	Col 16	Col 17	Col 18	Col 19	Col 20	Col 21	Col 22	Col 23	Col 24	Col 25	Col 26	Col 27	Col 28	Col 29	Col 30	Col 31	Col 32	Col 33	Col 34	Col 35	Col 36	Col 37	Col 38	Col 39	Col 40	Col 41	Col 42
VNG0019H	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801
VNG0021H	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.37194005996562773	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.42064500706079261	-0.22576346901619801
VNG0028C	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.33160462894365011	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.47299609243852414	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801
VNG0034H	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801
VNG0042G	-0.76395824444121596	-0.64952757859186183	-0.22576346901619801	-0.36551473651744087	-0.22576346901619801	-0.49807831129927987	-0.27340036144481800	-0.22576346901619801	-0.65637027164185258	-1.05845842991028616	-0.29196868175554919	-0.49618992915980564	-0.22576346901619801	-0.34357046328537888	-0.97524500998050878	-0.81656539277981266	-0.66801441930811545	-0.22576346901619801	-1.12668277075098855	-0.22576346901619801	-0.48499673499886298	-0.24148781048785661	-0.22576346901619801	-0.70349083215497510	-0.67382586096615305	-1.18721062434748847	-0.22576346901619801	-0.86938642861868265	-0.25933157563699971	-0.22576346901619801	-0.22576346901619801	-0.42230201560632108	-0.81547333228730334	-0.28926327086934922	-0.22576346901619801	-0.22576346901619801	-0.42436397638005485	-0.22576346901619801	-0.64110014077513700	-0.46800590517168694	-0.22576346901619801	-0.42230201560632108	-0.22576346901619801
VNG0049H	-0.22576346901619801	-0.58687623807938671	-0.78531747197648261	-0.22576346901619801	-0.22576346901619801	-0.48023613421126526	-0.28694316802539555	-0.42921186072262663	-0.65637027164185258	-0.60808829382766216	-0.27853360194898041	-0.22576346901619801	-1.34401057218257791	-1.09113794812353415	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.65318827202020835	-0.37825958583662983	-0.62502766706100232	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.69773279365094765	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.43801209496057991	-0.25825159156646887	-0.45641101887927504	-0.22576346901619801	-1.18248982326565577	-0.90851967709768866	-0.28694316802539555	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.47427130595235589	-0.60425532499243251	-0.49725151211846524	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801
VNG0050C	-0.30520378479475602	-1.07591384027901582	-0.22576346901619801	-0.84611623018024207	-0.57101569985639977	-0.22576346901619801	-0.73633506416291405	-0.44262042782568328	-0.68265405956807101	-0.64114167003145661	-0.22576346901619801	-0.22576346901619801	-0.59517072639220658	-0.80642661368713564	-0.22576346901619801	-0.22576346901619801	-0.22801989183237986	-0.22576346901619801	-0.83147308574080370	-0.22576346901619801	-1.01343137827010366	-0.24019424325245040	-1.19590978889930977	-1.14687640790195355	-0.22576346901619801	-0.25481769690469153	-0.22576346901619801	-0.45636801435029889	-0.25116640462403511	-0.25454268420203235	-0.22576346901619801	-0.44945580616942371	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.40813832202107725	-0.44461869731204429	-0.22576346901619801	-0.22576346901619801	-1.22959293909482992	-0.22576346901619801	-0.22576346901619801	-1.22354321738791594
VNG0053H	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801
VNG0062G	-0.31015624441505824	-1.13183343495900268	-0.77831527557005931	-0.39175651706884113	-0.22576346901619801	-1.25814489519958772	-0.22576346901619801	-1.18792294898734507	-0.22576346901619801	-0.70300682660434699	-0.29169223505113145	-0.22576346901619801	-1.05205835400218972	-0.33495513343955691	-0.22576346901619801	-0.79119784794768633	-0.88122186339121955	-0.68127371110462109	-1.48403270902470052	-0.22576346901619801	-0.41698324811713233	-1.41830356945268954	-0.22576346901619801	-1.15209156666558687	-0.22576346901619801	-0.25558858070164481	-1.21047872359852193	-0.44195454252900696	-0.25743771029242590	-0.25931939583362246	-1.31970168295801460	-0.22576346901619801	-0.40834437418448349	-0.27141786341820090	-0.22576346901619801	-0.96909798435482408	-0.87826561657818336	-0.51972792495310582	-0.58796329725132368	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801
VNG0064G	-0.80415930269211600	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.56454114117890453	-0.53989739752301935	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-1.12330158273706604	-0.72921833706955552	-0.47691940211874162	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.80184916138795059	-0.66903315019825982	-0.22576346901619801	-0.85788538725906349	-0.58687623807938671	-0.22576346901619801	-0.70180524862349059	-0.22576346901619801	-0.68986735372943353	-0.23718672247911898	-0.71905650851938774	-0.22576346901619801	-0.48752740865590588	-0.22576346901619801	-1.02658891233903038	-0.22576346901619801	-0.41583725453223719	-1.11646557564653870	-0.30136212919879546	-0.22576346901619801	-0.39365281616586639	-0.48752740865590588	-0.60017867547197956	-0.65459979457222639	-0.47115530134544753	-0.34653528869112810	-0.22576346901619801	-0.22576346901619801
VNG0095G	-0.35537535714488105	-0.22576346901619801	-0.22576346901619801	-0.92159288199693745	-0.22576346901619801	-0.22576346901619801	-0.28295468808943802	-0.46388485845910182	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.61910670626683484	-0.35030013683335681	-0.53664828950492782	-0.77604934757915867	-0.69950060781115631	-0.64537856075882183	-1.02876367565873572	-0.22576346901619801	-0.92101807268259306	-0.27456338213617137	-0.96826693431142707	-0.22576346901619801	-0.50171802495626017	-0.22576346901619801	-0.22576346901619801	-0.89994359107991617	-1.04275687969232167	-0.76326566276884555	-0.22576346901619801	-0.22576346901619801	-0.43971799333690320	-0.31217501055824143	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801
VNG0098G	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.83421697746143808	-0.56434382793832483	-0.48968181493655888	-0.29876642576390289	-1.23580244148006946	-0.68182957835111135	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.33768846680759806	-0.22576346901619801	-0.22576346901619801	-0.24742275340969158	-0.68167860236788091	-0.86257980382555077	-0.22576346901619801	-0.43548700683305136	-0.29287937286006904	-0.22576346901619801	-1.16400701186663147	-0.22576346901619801	-0.30447176566347312	-0.83272565364231121	-0.48266230035728525	-0.25803690730964779	-0.71367813177747519	-0.56793236812641645	-0.45003827205546071	-0.81232565525821521	-0.22576346901619801	-0.79987420642350193	-0.22576346901619801	-0.89441396851576449	-0.46800590517168694	-0.22576346901619801	-0.48907771116951082	-0.22576346901619801	-0.22576346901619801	-0.48530654648473764
VNG0117H	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.83918203884425924	-0.22576346901619801	-0.22576346901619801	-0.24278525422979902	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.26019964856324945	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801	-0.22576346901619801
VNG0123G	-0.31065089254889039	-1.06144624727952142	-0.22576346901619801	-1.13732655253068859	-1.02078567112894869	-0.48907771116951082	-1.49114410772196604	-1.24870338055154795	-1.43108003552102780	-1.07891362228666710	-0.75027167789716254	-1.22704501428343526	-0.22576346901619801	-1.29176894445030599	-0.22576346901619801	-1.26186577353185214	-1.50287432267418519	-1.13621924541092878	-1.97617462383899145	-1.08855083430692412	-0.40976617691277045	-1.33903093564479891	-1.00901917534630292	-0.22576346901619801	-0.23910273675044427	-2.01576328515927816	-1.67904972827811672	-1.27077250079542337	-0.35974787584202061	-0.98394216293608705	-0.55556231779583987	-0.45717418798905407	-0.82932001915569398	-0.28059783823829831	-0.22576346901619801	-0.40327504186061358	-1.23775809187075803	-1.01430119473506020	-0.70497645365800365	-1.24277468641287481	-0.83554863532524937	-0.46403472745009672	-1.54220633246639705
