"line"	"head"	"gene"
"1"	"VNG0001H"	"VNG0001H"
"2"	"VNG0001H"	"VNG0002G"
"3"	"VNG0001H"	"VNG0003C"
"4"	"VNG0009G"	"VNG0006G"
"5"	"VNG0009G"	"VNG0008G"
"6"	"VNG0009G"	"VNG0009G"
"7"	"VNG0022H"	"VNG0022H"
"8"	"VNG0022H"	"VNG0023H"
"9"	"VNG0030H"	"VNG0030H"
"10"	"VNG0030H"	"VNG0031H"
"11"	"VNG0034H"	"VNG0033H"
"12"	"VNG0034H"	"VNG0034H"
"13"	"VNG0043H"	"VNG0043H"
"14"	"VNG0043H"	"VNG0044H"
"15"	"VNG0069H"	"VNG0069H"
"16"	"VNG0069H"	"VNG0070H"
"17"	"VNG0090G"	"VNG0086Gm"
"18"	"VNG0090G"	"VNG0090G"
"19"	"VNG0106G"	"VNG0106G"
"20"	"VNG0106G"	"VNG0107G"
"21"	"VNG0106G"	"VNG0108G"
"22"	"VNG0106G"	"VNG0110C"
"23"	"VNG0118H"	"VNG0117H"
"24"	"VNG0118H"	"VNG0118H"
"25"	"VNG0120H"	"VNG0119H"
"26"	"VNG0120H"	"VNG0120H"
"27"	"VNG0123G"	"VNG0123G"
"28"	"VNG0123G"	"VNG0124C"
"29"	"VNG0134G"	"VNG0134G"
"30"	"VNG0134G"	"VNG0136G"
"31"	"VNG0151C"	"VNG0150H"
"32"	"VNG0151C"	"VNG0151C"
"33"	"VNG0174G"	"VNG0174G"
"34"	"VNG0174G"	"VNG0175G"
"35"	"VNG0194H"	"VNG0192G"
"36"	"VNG0194H"	"VNG0194H"
"37"	"VNG0200C"	"VNG0198H"
"38"	"VNG0200C"	"VNG0199H"
"39"	"VNG0200C"	"VNG0200C"
"40"	"VNG0203C"	"VNG0204H"
"41"	"VNG0203C"	"VNG0203C"
"42"	"VNG0207H"	"VNG0207H"
"43"	"VNG0207H"	"VNG0208H"
"44"	"VNG0207H"	"VNG0209H"
"45"	"VNG0219H"	"VNG0219H"
"46"	"VNG0219H"	"VNG0220H"
"47"	"VNG0219H"	"VNG0222C"
"48"	"VNG0234C"	"VNG0233H"
"49"	"VNG0234C"	"VNG0234C"
"50"	"VNG0239C"	"VNG0237H"
"51"	"VNG0239C"	"VNG0239C"
"52"	"VNG0240a"	"VNG0243Cm"
"53"	"VNG0240a"	"VNG0240a"
"54"	"VNG0245G"	"VNG0245G"
"55"	"VNG0245G"	"VNG0247C"
"56"	"VNG0249G"	"VNG0248C"
"57"	"VNG0249G"	"VNG0249G"
"58"	"VNG0255C"	"VNG0255C"
"59"	"VNG0255C"	"VNG0256H"
"60"	"VNG0266H"	"VNG0266H"
"61"	"VNG0266H"	"VNG0267H"
"62"	"VNG0271C"	"VNG0271C"
"63"	"VNG0271C"	"VNG0272H"
"64"	"VNG0282H"	"VNG0283C"
"65"	"VNG0282H"	"VNG0282H"
"66"	"VNG0285C"	"VNG0285C"
"67"	"VNG0285C"	"VNG0286C"
"68"	"VNG0293H"	"VNG0291H"
"69"	"VNG0293H"	"VNG0293H"
"70"	"VNG0300C"	"VNG0298H"
"71"	"VNG0300C"	"VNG0300C"
"72"	"VNG0305G"	"VNG0305G"
"73"	"VNG0305G"	"VNG0307G"
"74"	"VNG0305G"	"VNG0308Gm"
"75"	"VNG0321G"	"VNG0320H"
"76"	"VNG0321G"	"VNG0321G"
"77"	"VNG0342G"	"VNG0340C"
"78"	"VNG0342G"	"VNG0342G"
"79"	"VNG0375G"	"VNG0374G"
"80"	"VNG0375G"	"VNG0375G"
"81"	"VNG0384G"	"VNG0384G"
"82"	"VNG0384G"	"VNG0386Gm"
"83"	"VNG0384G"	"VNG0387G"
"84"	"VNG0409C"	"VNG0408H"
"85"	"VNG0409C"	"VNG0409C"
