Col 0	Col 1	Col 2	Col 3	Col 4	Col 5	Col 6	Col 7	Col 8	Col 9	Col 10	Col 11	Col 12	Col 13	Col 14	Col 15	Col 16	Col 17	Col 18	Col 19	Col 20	Col 21	Col 22	Col 23	Col 24	Col 25	Col 26	Col 27	Col 28	Col 29	Col 30	Col 31	Col 32	Col 33	Col 34	Col 35	Col 36	Col 37	Col 38	Col 39	Col 40	Col 41	Col 42
VNG0019H	-2.77258872223978114	-1.00785792539964558	-0.75077629339658170	-2.07944154167983575	-1.09362474715707059	-0.33128570993391293	-0.69314718055994529	-7.69521313901332338	-0.37106368139083207	-0.79407309914990587	-0.12216763397420753	-0.63111178964049264	-2.46040917818761296	-1.05268335677971003	-9.10598035665194061	-0.18272163681529441	-4.14143616975595119	-0.39600994933740918	-2.29263476214087758	-0.02429269256904459	-3.49002859536877130	-0.77002822489590295	-1.89047544216721275	-2.46040917818761296	-1.23787435600161744	-0.82782208388654688	-1.13010295575948039	-0.90881871703545403	-3.13729583787577804	-2.66642852641139072	-1.43129172705062646	-2.18036746026979644	-3.83044301843572299	-2.16282315061888708	-2.57308234069172581	-1.99510039324608490	-2.04022082852655462	-2.51207231786076957	-1.87080267656850796	-1.46967597005894168	-1.49610922712709726	-0.89894209353954213	-0.41703174447962976
VNG0021H	-1.08175517160168666	-0.70927656248982895	-2.24431618487006990	-0.93394566711287574	-2.09557092360971975	-1.06131650392441279	-0.39156220293917288	-2.39141630670066130	-0.00904074465214907	-2.88061946645348632	-0.54472717544167215	-0.35097692282409471	-1.63475572041839023	-0.83471074488173225	-0.91879386209227354	-0.75928698306449027	-0.80073239123988271	-1.18417017702975635	-1.30563645810243600	-1.38629436111989057	-0.20579491297959682	-1.94491064872222985	-0.21815600980317063	-0.65971240447370794	-1.31676829847128030	-0.50916034444692948	-3.54737989184023705	-0.69314718055994529	-3.21637894466961383	-1.23100147671385529	-11.50297513411705985	-1.50959257746438413	-1.77195684193187519	-4.29768548624013036	-0.36096986822161325	-0.86988435905999939	-0.29571424414904518	-1.61445045425764455	-0.74444047494749588	-0.57625342908844590	-0.02634397533960198	-3.00983119793349285	-0.71334988787746478
VNG0028C	-1.93794197940613655	-0.31197476502082550	-3.03655426807424611	-1.39836694235415981	-4.03985637693803046	-0.33128570993391293	-2.69414729593321889	-0.61803970807313979	-0.22690060019192196	-1.86433016206289048	-0.19237189264745613	-2.65926003693277790	-2.71205822249974871	-0.56739597525438512	-2.73029581004953004	-0.97021907389971074	-1.93794197940613655	-0.00200200267067308	-0.92130327369769927	-0.47000362924573558	-4.49184150068108856	-0.73188800887637595	-1.62455155024414855	-0.42617814970570594	-2.72723302051898386	-0.21195636192364531	-3.05760767727207838	-1.21739582465807672	-1.41058705368893511	-2.66642852641139072	-0.48939034304592566	-1.90380897303667806	-4.79754207863554782	-2.88777513204889891	-2.57308234069172581	-2.18925640768704266	-0.48613301117561919	-3.10331748423392817	-2.17155683058764160	-3.12356564506387580	-3.33260459019654354	-0.89894209353954213	-1.02722229258143671
VNG0034H	-0.67924427539095389	-0.55512588266257068	-2.81008292666736192	-0.03355678352884275	-2.53199825732185069	-0.30788477976930040	-0.73605468157122189	-0.53956809263164474	-2.42814831596939129	-1.74869997976760816	-10.48688386913695503	-0.44161055474451766	-1.85789927173259994	-1.37042101196360044	-0.42312004334688508	-0.37396644104879345	-0.70927656248982895	-0.96495590385543606	-1.26584820804402365	-1.38629436111989057	-0.32158362412746233	-0.49758039701597007	-0.52424864409813143	-2.61729583783374586	-0.87707001872087387	-0.44161055474451766	-2.35072546832198048	-0.10314075891951337	-1.42711635564014583	-0.46203545959655867	-3.27016911925575116	-4.08637639257292395	-2.62970123469123385	-1.23100147671385529	-0.94160853985844495	-0.75715251053585775	-1.43548460531066246	-0.45413028008944539	-2.52323176410966843	-0.56211891815354131	-0.08229524272683016	-18.09859724478325305	-1.82635091399767413
VNG0042G	-0.26396554583446485	-0.75928698306449027	-1.65025990695435554	-0.50749783367331602	-2.62693114981741793	-4.33514304877503154	-1.89711998488588129	-4.91577976308357734	-0.80519668436856817	-1.24479479884619115	-1.36257783450257453	-0.83011303563310268	-3.35240721749272330	-0.98349948156760514	-2.06356819252354562	-0.97021907389971074	-0.92634106772765645	-0.18632957819149348	-1.03563748950672130	-1.38629436111989057	-4.65226179352194169	-0.13811330212963427	-2.48771057712073462	-0.65971240447370794	-10.14174474166038564	-0.71949115589954726	-0.40646560844174784	-0.82553636860569091	-1.74296930505862302	0.00000000000000000	-0.46203545959655867	-1.16475209117265477	-0.41248972304512882	-4.88886023717033513	-1.17118298150294509	-6.18504929618064736	-0.77002822489590295	-0.24718012914245105	-2.12026353620009100	-3.55434856115632991	-6.31442843370440254	-0.29571424414904518	-0.16487464319023401
VNG0049H	-1.59454929994034966	-0.36384343341734499	-0.89648810457797545	-0.17793120849266178	-0.29035230100765980	-2.46040917818761296	-0.41248972304512882	-3.66516292749662043	-4.28308668681897764	-0.64435701639051324	-0.11541085151132773	-2.72570513634093059	-3.94248221291285450	-1.34707364796660922	-1.49610922712709726	-0.80296204656715187	-0.80073239123988271	-1.23787435600161744	-2.27302629075250140	-0.19723216952970890	-13.50802585821631396	-1.08470938349911816	-9.95057916006997800	-1.68200860526893581	-2.17155683058764160	-0.28236291097418098	-1.89711998488588129	-0.06400532997591243	-1.41058705368893511	-0.20825493882045903	-2.76145097782932503	-0.76787072675588175	-0.26136476413440751	-0.50252682095129564	-0.94160853985844495	-1.37832619147071367	-1.80788885115793851	-0.41855034765681981	-1.83885107676190551	-4.06867681547352245	-6.73380197185869900	-0.84863208340034024	-1.42711635564014583
VNG0050C	-4.41454982637944138	-3.75501925661848146	-0.92634106772765645	-0.85097126575351256	-3.24933503235290910	-4.43121687886465310	-2.30458709566471898	-2.58097711853873379	-0.17673717850005405	-2.16282315061888708	-0.46521511251393838	-2.72570513634093059	-6.77672701657573295	-4.65541140242483831	-3.37845789469266577	-3.46094738606792962	-4.61724276722236038	-0.03978087001184460	-1.79576749062559382	-0.19723216952970890	-2.65356201581814011	-1.65025990695435554	-4.32753844938981214	-4.65121412448949823	-2.92807362508017599	-1.93794197940613655	-1.76026080216868408	-2.19822507766980291	-2.77740027923700339	-2.66642852641139072	-0.73188800887637595	-1.90380897303667806	-4.79754207863554782	-4.15409456662787502	-3.14191478373207245	-3.47054745979694879	-2.48051630148670732	-0.40646560844174784	-2.04794287462046487	-5.55192012534695500	-3.55785119170753239	-0.39156220293917288	-0.63299325774019821
VNG0053H	-1.88387475813586058	-13.30869295559582177	-1.55116900431012472	-2.82346105261353797	-0.32020526415734102	-0.18753512384684212	-1.79576749062559382	-0.78526246946775091	-1.09064411901893266	-1.35867919408691717	-1.70374859190534167	-0.13124828660995402	-2.59026716544582669	-1.39432653281715480	-1.97328134585144510	-0.98886142470899052	-1.09362474715707059	-0.15665381004537685	-0.70521976179421453	-2.74887219562246532	-0.67924427539095389	-0.65008769109949827	-0.52424864409813143	-1.14885350510485651	-1.31676829847128030	-0.84863208340034024	-0.31334181923235860	-1.21739582465807672	-0.45728485683796083	-1.23100147671385529	-1.40649706843741007	-2.31465767422831492	-0.41248972304512882	-3.71727892863563447	-0.15431736038435728	-2.18925640768704266	-1.39836694235415981	-0.02942881069081217	-2.07944154167983575	-0.33407511202149148	-1.19402247347276802	-1.78976146656538182	-0.18272163681529441
VNG0062G	-0.16134315040876293	-0.21443161071218819	-0.92634106772765645	-0.22815609313775398	-2.41799594450537336	-0.77435723598548845	-0.26657310924154576	-1.44816976483797810	-0.74444047494749588	-4.63976163075771009	-4.73641847259804560	-0.09431067947124129	-0.69114917789727226	-0.01308523954865548	-0.06827884075329438	-0.37396644104879345	-0.02122363645162669	-1.03282454813010660	-0.05234648037220924	-0.82782208388654688	-0.57447565084244678	-0.07580171341628185	-3.13269812862714847	-0.11316869810563798	-0.16369609267078977	-1.25176346816228445	-1.49610922712709726	-2.00248050054370763	-0.50252682095129564	-0.46203545959655867	-1.29828348379717728	-0.57092954783569616	-0.05234648037220924	-0.48939034304592566	-0.10536051565782628	-0.06720874969344999	-0.81193071654991233	-0.08664780672567217	-0.40496523306651327	-0.56211891815354131	-0.72981116493153675	-1.59948758158093218	-1.58474529984372903
VNG0064G	-1.44816976483797810	-14.01396149668811297	-0.48776035083499458	-2.56006132338876080	-1.51868354916563630	-1.18417017702975635	-3.44514926919133835	-0.14156356432178688	-1.28013416529149993	-2.63387080292795872	-0.36816932336446756	-0.22064667111562250	-0.11541085151132773	-0.39452516806982996	-2.33201390368485795	-1.73160554640830799	-1.00512194558077073	-1.50959257746438413	-1.41058705368893511	-1.38629436111989057	-0.32158362412746233	-0.48450831544861728	-0.88673192963261072	-0.20825493882045903	-0.64435701639051324	-0.56387484485580619	-1.13010295575948039	-1.76026080216868408	-0.22941316432780509	-0.46203545959655867	-2.69859504233145486	-2.13707065451647216	-2.43840481613658033	-2.66355496121565904	-0.15431736038435728	-2.07147337203065884	-0.77002822489590295	-0.63865899527587555	-0.58519003905485290	-1.89711998488588129	-1.57021719928081915	-2.09557092360971975	-2.25379492882461374
