GENE	Col 0	Col 1	Col 2	Col 3	Col 4	Col 5	Col 6	Col 7	Col 8	Col 9	Col 10	Col 11	Col 12	Col 13	Col 14	Col 15	Col 16	Col 17	Col 18	Col 19	Col 20	Col 21	Col 22	Col 23	Col 24	Col 25	Col 26	Col 27	Col 28	Col 29	Col 30	Col 31	Col 32	Col 33	Col 34	Col 35	Col 36	Col 37	Col 38	Col 39	Col 40	Col 41	Col 42
VNG0019H	0.287204	2.195822	1.162275	-3.059273	1.261483	0.768167	2.195822	-0.791566	1.475886	0.411617	1.178628	0.272359	1.392292	1.266400	0.495195	-1.994572	0.319347	1.329760	-0.715899	0.303584	-3.313227	-1.334216	1.209969	1.410247	1.646916	2.006025	-2.616262	0.597901	1.725203	1.763227	-1.979611	0.170236	0.451224	-1.204551	-1.705607	-1.307244	-1.106077	0.251958	-1.530991	0.612046	1.713862	0.863368	-1.618496
VNG0021H	0.451092	2.195822	1.054974	-0.009835	1.162992	0.802042	2.195822	-0.551753	1.189821	0.551371	0.880327	1.568843	1.158286	1.324806	1.005048	0.006779	-5.543206	0.947037	-0.294177	1.238349	-0.308880	0.012168	0.992923	1.476317	1.213208	1.427897	-0.064086	0.245191	1.420455	1.333605	-0.240698	1.065745	1.507226	-1.042890	-0.496213	0.480596	-0.933363	1.122280	-0.185458	0.316712	1.372242	1.620211	-0.300824
VNG0028C	0.605106	2.195822	0.075123	0.985107	-0.214315	0.238753	2.195822	0.653226	0.721455	0.622730	0.235501	-3.402407	0.720597	0.065018	0.345637	0.772916	1.618148	-0.802822	0.924603	0.911548	1.176082	1.066560	0.186636	0.857529	-0.520781	0.010479	0.735498	0.401435	-0.306373	0.150053	1.065370	0.042632	0.555824	1.000012	1.338038	0.559479	1.242600	0.562438	0.931704	1.290359	-0.352274	1.566030	0.905017
VNG0034H	1.250504	2.195822	0.300836	0.893766	0.361766	-0.112990	2.195822	1.236896	0.781394	1.244866	0.421740	0.351088	0.347040	-0.054442	-1.998138	0.839375	0.655271	0.738489	0.754702	-1.967047	1.181511	0.590415	0.313886	-1.636583	0.606084	-0.090339	0.614399	-1.972211	0.266717	1.489229	0.821194	1.327761	-1.081331	1.025463	1.220174	0.931721	1.013907	-2.819354	0.772922	1.430688	0.192675	-1.222656	0.952115
VNG0042G	0.317500	2.195822	1.350322	-1.249184	1.376475	0.254936	2.195822	-0.002796	1.708512	0.363704	1.311759	-1.597684	1.644301	1.467127	0.271060	-2.267616	0.838526	1.413875	-0.855051	0.482975	-0.580133	-0.336837	1.367421	1.674283	1.748935	2.010633	-1.435028	0.214500	1.833660	1.891526	-1.316581	-0.084294	0.294106	-2.910971	-1.191058	-6.256887	-0.113618	0.381029	-1.208966	0.907938	1.792911	1.156115	-1.157305
VNG0049H	1.379147	2.195822	0.975972	-0.358958	1.202803	0.552489	2.195822	0.245282	1.527380	1.405178	0.942572	0.436369	1.088684	0.938959	0.431683	0.142886	-0.181424	1.259094	-0.204164	0.472262	0.500716	-0.789192	0.933707	0.758628	1.504220	0.944759	-0.186886	-2.236870	1.012558	2.052743	0.343483	1.483176	0.603050	0.396093	0.322000	0.355263	0.396383	-0.181980	0.153667	1.580701	0.912808	0.898315	0.470319
VNG0050C	1.108123	2.195822	1.183603	-0.264127	1.312581	-0.206796	2.195822	0.722235	1.514110	1.102661	1.037038	0.769582	1.235699	1.127782	0.203951	-0.412348	-0.118016	1.334475	-1.385529	0.622511	0.825592	-3.452805	1.108215	1.137004	1.633116	1.421327	-0.525646	-1.879639	1.498547	1.945472	-0.184656	1.089405	0.721544	-0.307230	-1.505668	-0.070586	-0.545184	-0.547548	-0.502541	1.165116	1.392542	0.766688	-0.033722
VNG0053H	1.146246	2.195822	0.812019	0.224535	0.859728	0.294140	2.195822	-0.035588	1.416737	1.173667	0.879825	-7.291265	1.181024	0.766177	0.130726	0.081166	1.215484	0.830750	0.239242	0.828589	0.259895	0.204829	0.849834	1.118206	1.087209	0.929653	-0.069983	-1.635591	0.861002	1.596372	0.443242	0.962257	0.513225	0.017128	0.040266	-0.193471	0.838508	-0.389017	0.350708	1.618188	0.792790	1.472702	0.493276
VNG0062G	0.922885	2.195822	-0.108681	1.285551	-0.018768	-0.565456	2.195822	1.513971	0.182791	0.887408	-0.462647	0.444549	-0.537415	-1.497034	0.308025	1.059222	1.382779	0.032554	0.894465	0.798724	1.971614	0.861047	-0.415899	-0.219225	0.231216	-3.042733	0.986606	-0.502702	-0.293314	0.977283	1.292724	0.574472	0.718175	1.488013	1.628757	1.062437	1.105264	-0.193271	1.080362	0.994387	-0.793810	0.918238	1.156331
VNG0064G	1.218096	2.195822	0.723530	0.903855	0.420885	-1.036955	2.195822	1.476471	0.665735	1.163010	0.648070	0.515155	0.729434	0.437123	-2.852674	0.669742	0.287291	0.939544	0.518608	-1.050645	1.058603	0.443037	0.673114	-0.270009	0.728970	0.210457	0.537417	-1.405894	1.019631	1.243817	0.351662	1.222948	-0.808451	0.496718	0.573769	0.767506	0.780429	-0.562038	0.533759	1.313743	0.905130	-2.564125	0.761188
