Gene	Cond0	Cond1	Cond2	Cond3	Cond4
VNG6232G	0.014286	-0.257151	-2.114350	0.000000	0.442871
VNG5175H	0.000000	-0.522934	0.097182	-1.332786	1.402202
VNG2603H	-0.161745	0.000000	0.055988	2.158667	-0.161745
VNG0729H	0.397406	-0.013944	0.000000	-1.924282	0.571707
VNG2567C	-1.709825	0.280058	-0.014740	1.017051	0.000000
VNG2563H	0.000000	0.030009	-0.330098	1.800536	-0.855254
VNG0324G	0.439510	0.000000	0.169635	-2.051044	-0.023132
VNG0527C	-0.083256	1.398699	0.382977	-1.382048	0.000000
VNG2473G	-0.052491	0.419925	0.000000	2.250533	-0.111542
VNG0916G	0.263829	-1.231201	-2.022687	0.000000	0.087943
VNG2581H	-0.368024	0.000000	1.104071	-1.240766	1.083041
VNG2447G	-0.281652	-1.649677	0.067060	1.140021	0.000000
VNG1068G	-1.621092	0.324218	0.000000	1.126232	-0.127981
VNG1889H	-0.369311	-0.332380	0.000000	1.981968	0.861725
VNG2117C	0.678750	0.000000	-0.095449	-1.972616	0.042422
VNG1898C	0.006827	0.000000	-0.320879	2.020852	-0.395978
VNG0401G	0.000000	-0.347239	0.125392	-1.977334	0.655896
VNG0885G	-0.896438	0.000000	0.164652	1.847760	-0.009147
VNG1261H	-0.435133	0.000000	0.114941	2.093564	-0.057470
VNG6240G	0.069396	-1.098776	-2.185987	0.057830	0.000000
VNG0342G	-0.550707	0.045892	-0.220283	1.991723	0.000000
VNG2411G	0.107119	-0.387278	0.000000	-2.150630	0.321358
VNG2146H	-0.088863	-0.027343	0.000000	2.269436	0.526345
VNG1698G	-1.266815	-0.040538	0.131749	1.550581	0.000000
VNG1938C	0.063093	-1.072581	-2.217269	0.000000	0.009013
VNG1314H	0.281082	-0.008391	0.000000	-2.093431	0.222348
VNG0330G	-0.764222	0.008938	-0.330716	1.850221	0.000000
VNG1142G	-1.737526	-0.372327	0.144794	1.003215	0.000000
VNG1168C	0.457339	0.000000	0.252003	-2.034692	-0.513340
VNG6237G	-0.420389	0.404819	-1.961817	0.000000	0.498239
VNG1053G	-2.200609	0.095679	0.000000	-0.009568	0.047839
VNG6133H	-0.111732	-2.157286	0.000000	0.120327	0.232059
VNG0457G	0.000000	0.180992	-0.031477	2.101079	-0.448545
VNG5145H	0.463768	-0.123422	0.033661	-2.086958	0.000000
VNG1830G	0.193242	-0.002801	0.000000	-2.117261	0.232451
VNG0149G	0.000000	-0.040333	0.731044	-1.215046	1.472172
VNG1581C	0.000000	0.024714	-2.224257	-0.753776	0.172998
