V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43
VNG0019H	-0.95766955292506195	-0.21624294612494768	-0.74160543779006527	0.44960404537526638	-0.38497875186122954	-0.37311258457514579	0.52618138520423663	-0.91813313322420220	-0.30824951404715578	0.33055411498439158	0.21882008663746272	0.47094421255858471	-0.30524606438358737	0.51112308664316619	-1.09072671547590261	-0.36413624704741721	-0.48867080913962913	-0.43069173020623114	-1.17020790496915450	0.08772642911234307	-0.75384862118718265	-0.65475057559541194	-0.67516530558690291	-0.43808655933576734	-0.48711173547739856	-0.51464490805990659	-0.47343795749580203	0.54452145755667747	0.53664422045591331	-0.92155230437334612	-0.99914505244821761	0.17600667833866823	-0.01237782713137521	0.46421629126922181	-0.87551457409500422	0.20212144640445917	0.45692429400748946	0.42185258769397088	-0.39919657952383031	-0.33431331927142227	-0.09197635270997631	0.28736454027386704	0.46012464187846591
VNG0021H	0.06195882890891870	-0.35922140443698602	-0.08297251571951730	0.34717448282588531	-0.04950791695607749	-0.00783813012029235	0.41265023854853772	-0.01797097511370219	-0.18514036688634000	0.36330228990106095	0.26989547282796483	0.38053988065935213	-0.05304182738606385	0.33852545819976232	-0.02302951010827729	-0.34747314964341897	-0.02193438100574014	-0.24626944072386608	-0.17844498339695108	0.07882515497350573	-0.05314158439280073	-0.26944655481285434	-0.04172161716736635	-0.09541351500218984	-0.22443930882018615	-0.36155685056364040	-0.42695591015409323	0.50678351560715529	0.42223205047695961	0.11063487742935849	-0.25613825803526047	0.22148342745403557	0.12293290607841471	0.36636283621119070	0.13249844263239877	-0.08024867106880158	0.40715472857804835	0.31884665490958414	-0.00857288861952585	0.00156509755760548	0.00397632959951482	0.27904795071338534	0.39761519198649664
VNG0028C	0.43834799730347790	-0.31217501055824143	-0.03551782614951947	-0.24604398133975675	0.10627978827324662	0.06561045931056952	-0.23986054614188546	0.10066933254734758	0.11235667247114488	0.07411374095124849	-0.00062542567304689	0.12656360527863178	0.05762123365212116	-0.29824992895703539	0.42358468800900656	-1.29356921556100279	0.44094419214527947	-0.86782390774350504	0.32479523509042524	-0.10454553546451736	0.30443321180453742	0.23048388706211928	0.03894775111824467	0.05313804328532312	0.30480923523516912	0.33159318923267683	-1.11773115920882926	0.20934177513580032	-0.20426593666086465	0.21287897868169711	-0.53111404726775457	-0.12643089304601410	0.15013743210063252	0.13297233986988624	0.04173319534178020	-0.76734704303575885	0.14934471702797458	0.07286685945479697	0.09116466543010956	0.13544657280369107	0.35752303485504805	-0.09478720695323009	0.11907077156300176
VNG0034H	0.37045755150795640	0.09464542511763184	0.01154760652474857	0.34066819716464158	-0.13946847089289455	-0.14309112204357427	0.04048191544362208	0.03248350628472110	-0.20889343261594320	-0.38889074780345728	-0.13214341040300501	0.04002717171136103	-0.07468837874787822	0.09736207332042923	0.34086042807506278	0.05084206055160193	0.30018075535305355	-0.05745670922194018	0.42315625985259098	-0.21968244636819606	0.24605953644100018	0.33898375569919131	-0.03724940500179946	-0.14275033640131907	0.37852096425745241	0.36237782159531318	0.04798766643012282	0.10140661603381880	0.07157306864380432	-0.00466317519345803	0.14230520621781839	-0.28582106450484285	-0.14241233805970940	0.02944349258700512	-0.10718038049659259	-0.26677996771404316	0.13963150801821717	-0.01356857791567963	-0.64882210760841341	0.25028366156009468	-0.05286519849453269	-0.92634027177185851	-0.01502853997637656
VNG0042G	-0.31171454893474787	-0.14164340744849568	-0.42939721372161666	0.49917740475871841	-0.25151201593282962	-0.31705181733610499	0.56274217824189221	-0.27133978684361826	-0.23965107885699649	0.43288470855364514	0.32072503928195245	0.52264897593223769	-0.08410750918258965	0.53378464599340525	-0.34267876154984711	-1.21185729817914689	-0.31941342693477548	-1.08877504580589379	-1.40504735142289849	0.17466089294962445	-0.40135094437442714	-1.90520689024059853	-0.34550097929783191	-0.28134169773033063	-1.62744280880130709	-1.50785397339763638	-1.49851842445866557	0.61678481510617689	0.57348616849411982	-0.16893981341202091	-0.77194581353034608	0.20695228193289483	0.18402365273258475	0.51728856118324851	-0.35609638793499804	0.24205368252657997	0.53055448109298098	0.46767140930241002	-0.27602633065625864	-0.12514266438858432	0.19386932427262302	0.35024627096615701	0.51522349690378355
VNG0049H	-0.15095767809119517	0.02414340189327645	0.04713018373615013	0.49795290443715012	-0.84961469453482819	-0.96152616392345391	0.26634744215474804	0.04743656176397528	0.05392099766812024	0.01505581729639034	0.19775183869807239	0.37272324968815640	-0.01315505588114680	0.41944805766122462	0.16590457855251911	0.08148950350975942	-0.08586649710459701	0.00135409285292629	0.15526132287323435	0.08618713917122341	-0.24390381562380303	0.11200190598742493	0.19785064556825294	-0.05491042920837427	-0.10817731843235136	0.18871442499797733	0.02999715255020938	0.31651996402373528	0.28307275286726863	-1.67206689753740068	0.01057369815941153	0.16818178288795996	-0.66821243266817965	0.36422961055193337	0.02479809055264090	0.09707308980532048	0.36497795690507734	0.31942256967276333	-0.16997964531517726	0.28750530600145591	-1.94974400092972489	-0.08659941423874211	0.20932007654687609
VNG0050C	-0.61910670626683484	-0.01409099810084070	-0.03693830968513029	0.48204772185026540	-0.33930871540363566	-0.37950863638004795	0.44444423365161639	-0.27813250670970729	-0.11316211898136375	0.22066780082091458	0.19822065741448197	0.43358764573854908	-0.00572500260937527	0.46018084214854882	-0.21229189938660617	-0.08441072638328011	-0.14916206672902316	-0.13907577676208838	-0.24718100330122408	0.12513420464391509	-0.22412559945324481	-0.07719926546379179	0.12318953802243306	-0.19415615952160112	-0.18956219275283109	-0.01094425683568800	-0.10194508490933019	0.46436962117752817	0.45791232085466316	-1.81005527349540785	-0.43042966412878880	0.16943519670520996	-0.22951152546992207	0.42377235575429661	-0.29235797100180028	0.15168796890384686	0.41591878231381663	0.36619253777709504	-0.21159257127035791	0.08180272782961144	-0.45030115235416268	0.21282279989260480	0.37768322266593896
VNG0053H	0.18433526721835256	-0.35546850783143524	0.01196051719537707	0.34202284240773601	0.01547064204695322	-0.03317210368921877	0.21082536899751800	0.10628384272211697	0.11248387046965831	0.17038570415040355	0.16144426864686781	0.34522976650793624	-0.09009944784710255	0.27647817152258591	0.21910979674251432	-0.29287937286006904	0.18860104594647731	-0.45335995624497172	0.03321027559060779	-0.00450952297436375	0.04465046335973272	-0.03446409673691637	0.12557560546749369	0.03316943924982511	-0.06898625788519143	0.04997941469458243	-0.40891805471288811	0.38162722871067462	0.22877186359350432	0.11817677662773243	-0.53843509758150820	-0.01797851258453005	0.01471230750806018	0.34354788849946982	0.02915075498367301	-0.24044268663903043	0.35211405472977653	0.29150140140460640	-0.05316669660777159	0.26122826989391978	0.14552082427119489	-0.00322038687865619	0.28133089508014075
VNG0062G	0.44189640372112693	0.14730110549179315	-0.04271330132245470	0.04037261049556041	-0.11847979552255579	-0.17271613138223446	-0.17321228200218242	-0.48106394340115344	-0.10962114045212176	-0.58803041257217137	-0.31146376129728415	-0.08619458533423735	0.18777994051471664	-0.13191840546996134	0.43739666350837603	-0.14838796322646280	0.50257537343313796	-0.15006108671954008	0.45023456704846138	-0.04549395320071088	0.37976955410033630	0.41839591999383474	0.10259284014366682	-0.14649201077856391	0.48722365500428266	0.51096665976574596	-0.12600150674236898	-0.39754633921443705	-0.15070265340477532	-0.66348932391850801	-1.17147244366733649	0.11403618438638827	-0.05879276846466810	-0.09358376924605771	-0.59144251230585454	-0.04605101480779854	-0.28116821962280381	-0.20092635764865385	-0.11695531140706189	-0.07260280497694083	0.23990688641900132	-0.12521519460927771	-0.19133911220412103
VNG0064G	0.31587720888019316	0.10620467993575761	0.11128622522192382	0.36219800917227285	0.11051549732451246	0.10161339736975178	0.30327701476233448	0.08596487865534791	-0.42924372045133169	0.00554345215462244	-0.08827349557903039	0.11770975878469087	-0.22009288017475573	0.10927778269652724	0.12086851458851808	0.12186844257632631	0.16372699422130801	0.06485978854719299	0.34417988462645316	-0.33655890739004624	0.23871982626097027	0.28370972700446506	-0.08389659944503734	-0.03441380095719677	0.35090467085303240	0.19836028258646490	0.15638550045454189	0.33316521154894679	0.32492807702890347	0.20669847298359309	0.25683947531197548	-0.45512090683288542	-0.02696094290946557	0.10287930384441291	-0.05404813833877026	-0.45274299085586939	0.26591967697494434	0.01201134927679061	-0.52441035202314146	0.23987011996519772	-0.52285860128399253	-0.31157111820612321	0.23465865724474178
