V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43
VNG0019H	0.00000236822432803	0.00212177313547996	0.00158859127932657	0.00000431644446213	0.00003635228805258	0.00009329449714863	0.00000000000000000	0.00040540466144624	0.00000659562273171	0.00003231695114212	0.00004088665584746	0.00000000000000000	0.00238380789188763	0.00000009520389317	0.00336521131675128	0.00013408444310790	0.00000000000000001	0.00023854776932069	0.00122693606309352	0.00047020639257275	0.00109603281899746	0.00000025957213701	0.00185484492528445	0.00088448373602403	0.00000521118919225	0.00000038884428798	0.00043561082617725	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00227768433277298	0.00048167611684450	0.00087754275353182	0.00000000000000000	0.00223453179480493	0.00016611060052903	0.00000000000000000	0.00000008356917216	0.00087398362143713	0.00030096377462172	0.00094826511345325	0.00000002901088640	0.00000000000000065
VNG0021H	0.00000000000000000	0.00264471105755755	0.00009267693904216	0.00004416112215101	0.00000020238619790	0.00000030188882809	0.00000000000000000	0.00000000000000001	0.00000082029872889	0.00002298483702993	0.00001756353160109	0.00000000000000000	0.00104416979127698	0.00001754856499368	0.00000000002794908	0.00012005465992113	0.00000000000000000	0.00006662978338928	0.00000000000000000	0.00052193358586400	0.00001340727669478	0.00000000000000000	0.00080868326517798	0.00039280948656307	0.00000000000000000	0.00000000000289592	0.00035170343778433	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00019062846340886	0.00031813946055182	0.00025952344520620	0.00000000000000000	0.00013506601819226	0.00124021496822913	0.00000000000000000	0.00000105468636530	0.00012173309150289	0.00000306549138773	0.00063730300556154	0.00000004745275775	0.00000000000001602
VNG0028C	0.00000000000000000	0.00249017368380242	0.00006527263261202	0.00082441914555603	0.00000000489026188	0.00000003886260813	0.00000015520322575	0.00000000000000000	0.00000000166146905	0.00034253738211663	0.00039593090485327	0.00000000000000008	0.00063101898264123	0.00034811251778733	0.00000000000000000	0.00357467774045076	0.00000000000000000	0.00147974427112079	0.00000000000000000	0.00140489997053879	0.00000000051240945	0.00000000000000000	0.00064930821484490	0.00019003916118811	0.00000000000000000	0.00000000000000000	0.00262628934486733	0.00000000000000000	0.00000000000000002	0.00000000000000000	0.00069680575544894	0.00127484435969842	0.00019894125832642	0.00000000000016099	0.00023438174470172	0.00356655747193447	0.00000000000001113	0.00006317997942299	0.00005151623665653	0.00000013042519259	0.00021642724413152	0.00021841132965186	0.00000000268786842
VNG0034H	0.00000000000000000	0.00060994914786964	0.00004416243400674	0.00004966344989519	0.00000120971555309	0.00000533283890294	0.00000000000000001	0.00000000000000000	0.00000121786311529	0.00231263110085035	0.00087784042234148	0.00000000000000670	0.00114185988396809	0.00017608931721550	0.00000000000000000	0.00000250270103245	0.00000000000000000	0.00000937909785480	0.00000000000000000	0.00204304993076686	0.00000000355727680	0.00000000000000000	0.00080151817281947	0.00046948966674960	0.00000000000000000	0.00000000000000000	0.00000973518492204	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000201422625193	0.00170928986791326	0.00191736954474670	0.00000000049927494	0.00044114378252140	0.00175524182571294	0.00000000000003170	0.00013866986952520	0.00141984732496563	0.00000000264088484	0.00084341900915195	0.00729704788312382	0.00000017006145525
VNG0042G	0.00000000000000000	0.00177004137542667	0.00062269951635873	0.00000120545951683	0.00000750457536624	0.00006367117075677	0.00000000000000000	0.00000000001330165	0.00000232061143040	0.00000846953848668	0.00000529670402612	0.00000000000000000	0.00119646010930287	0.00000004240750882	0.00000073757004244	0.00310967434239452	0.00000000000000000	0.00267042089893563	0.00295533642405704	0.00022566706578466	0.00027746208315567	0.00489729076527380	0.00141907770472627	0.00065832698536445	0.00309382618101631	0.00444049233990518	0.00357475373247282	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00152579707732476	0.00036327849796649	0.00011326535740731	0.00000000000000000	0.00094856660854487	0.00009908643761225	0.00000000000000000	0.00000001789296989	0.00059047236793425	0.00003507924691570	0.00029154833700924	0.00000000261602116	0.00000000000000003
VNG0049H	0.00000000000000000	0.00091941265195426	0.00003121171969315	0.00000117870531715	0.00046810431511142	0.00062354500007712	0.00000000000000000	0.00000000000000000	0.00000000642601186	0.00048277473482624	0.00005380760608109	0.00000000000000000	0.00090740001324876	0.00000277353790885	0.00000000000000890	0.00000179483121314	0.00000000000000000	0.00000451187109234	0.00000000000000000	0.00050131234926056	0.00015393099556622	0.00000000000000000	0.00035120398629102	0.00034147177880751	0.00000000000000000	0.00000000000000000	0.00001134049944866	0.00000000000000000	0.00000000000000000	0.00036545569766241	0.00001515537225593	0.00050471045753468	0.00403222595761831	0.00000000000000000	0.00024946340020591	0.00050312466579071	0.00000000000000000	0.00000096333483802	0.00036427650611639	0.00000000095151017	0.00633422971900511	0.00019521436162987	0.00000000008162212
VNG0050C	0.00000000000000021	0.00115402641443125	0.00006324611228574	0.00000184394403136	0.00002371739123348	0.00010375744563751	0.00000000000000000	0.00000000001648196	0.00000021426768028	0.00011031626247400	0.00005447479280336	0.00000000000000000	0.00087737859340372	0.00000073579298728	0.00000002230761497	0.00001259154795899	0.00000000000000000	0.00002294720058944	0.00000000000000013	0.00035896406268397	0.00012915689565879	0.00000000000000000	0.00049219866141280	0.00055007993399101	0.00000000000000000	0.00000000000000000	0.00003710403503403	0.00000000000000000	0.00000000000000000	0.00056131830939196	0.00045124204027212	0.00050651008038058	0.00260735275895799	0.00000000000000000	0.00081390077182093	0.00031566359924618	0.00000000000000000	0.00000030960320252	0.00044638402854244	0.00000061598002586	0.00176493844766141	0.00000031262346023	0.00000000000005082
VNG0053H	0.00000000000000000	0.00266980809203450	0.00004298312397648	0.00004507458041386	0.00000004019100411	0.00000052580050586	0.00000000000000000	0.00000000000000000	0.00000000134441620	0.00016666879544541	0.00008621129735707	0.00000000000000000	0.00121849569774283	0.00005365700522280	0.00000000000000072	0.00008237638534075	0.00000000000000000	0.00026969530812087	0.00000000000000000	0.00086557862303939	0.00000181344545253	0.00000000000000000	0.00046640644546898	0.00021756997495178	0.00000000000000000	0.00000000000000000	0.00031088240876962	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00072720812290936	0.00107911267652048	0.00066891803136812	0.00000000000000000	0.00024056834485124	0.00170240213457195	0.00000000000000000	0.00000167742722132	0.00017649186328111	0.00000000174847377	0.00032521344014100	0.00005707522969360	0.00000000000438454
VNG0062G	0.00000000000000000	0.00042528751622854	0.00006703498437500	0.00043914543810059	0.00000082245217999	0.00000958252280300	0.00000000168593147	0.00000005871508795	0.00000019086297537	0.00330934305302199	0.00155019190647806	0.00000000000352447	0.00027478288027092	0.00021642902871882	0.00000000000000000	0.00002341580589228	0.00000000000000000	0.00002721381457061	0.00000000000000000	0.00107096861796144	0.00000000001338358	0.00000000000000000	0.00052520876918342	0.00046734360088178	0.00000000000000000	0.00000000000000000	0.00004917077240176	0.00000000000081780	0.00000000000000000	0.00000000000000000	0.00275354887559904	0.00069466291828014	0.00114358486897041	0.00000076097468106	0.00152230521354051	0.00110613615839220	0.00000104599631645	0.00048225920994937	0.00026187633848499	0.00001314202234301	0.00027886056044274	0.00032836126412212	0.00000951619564024
VNG0064G	0.00000000000000000	0.00061684975692997	0.00001617098694889	0.00003114138626496	0.00000000401512027	0.00000001474750924	0.00000000000000000	0.00000000000000000	0.00003027197407454	0.00052997595459080	0.00068237641286397	0.00000000000000008	0.00184608441303847	0.00017156031794559	0.00000000000008087	0.00000104362207651	0.00000000000000000	0.00000180595574928	0.00000000000000000	0.00267040096520790	0.00000000472502674	0.00000000000000000	0.00090303056201852	0.00030506794060423	0.00000000000000000	0.00000000000000000	0.00000271833278389	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000020722219009	0.00242982934532484	0.00098010731052439	0.00000000000237989	0.00035253824322363	0.00244915767784347	0.00000000000000002	0.00011164701230765	0.00115025296538266	0.00000000461063487	0.00198108560466867	0.00155740408487612	0.00000000003935498
