geneid	Day1.AM	Day1.PM	Day2.AM	Day2.PM
3671130	0.6642	-0.46858	-2.14353	2.54302
3671131	1.16992	-0.39588	-0.51787	1.84879
3671132	0.35747	0.73523	-0.15906	0.65822
3671133	1.14783	-0.01316	-0.91252	3.42169
3671134	0.64449	-1.38069	-0.66707	2.72033
3671135	0.18088	-0.06662	-0.08907	2.98641
3671136	0.45102	-0.1425	-0.60443	3.34486
3671137	1.02313	-0.73337	-1.21326	3.52979
3671138	0.07404	0.44	-0.10475	0.70915
3671139	0.38584	-0.33049	-0.57427	2.23296
3671140	0.85473	-0.46838	-0.62549	2.35136
3671141	0.43955	0.39325	-0.98648	1.77433
3671142	0.97463	-0.37641	-0.40571	3.28332
3671143	0.96815	0.12621	-0.32968	1.69668
3671145	1.08938	-0.07196	0.30994	3.03915
3671146	-0.62859	-0.86093	0.09254	0.57378
3671147	1.5684	-0.95679	-0.37561	1.09715
3671148	0.5553	-0.30317	0.56684	0.69783
3671150	0.12374	0.09778	0.54273	1.00528
3671151	0.56744	-0.33669	-0.08234	1.48216
3671152	0.34284	-0.33247	-0.12387	3.06723
3671153	0.20813	-0.44866	-0.95809	2.28608
3671154	-0.18169	-1.01846	-0.83326	-0.22151
3671155	-0.06276	-0.16928	-0.26527	2.21279
3671156	0.95633	0.00575	-0.34568	2.60534
3671157	-0.54526	-0.37222	-0.11885	2.46669
3671159	-0.72401	0.97745	1.05424	1.36584
3671160	-0.39316	0.45175	-0.2645	2.24002
3671161	0.41067	-0.42411	0.02842	2.01005
3671162	0.71052	-0.12602	-0.28551	2.62353
3671163	0.68138	-0.42435	-0.49141	2.57236
3671164	0.18165	-0.91791	-0.45927	2.86309
3671165	0.17943	-0.52109	0.53018	1.24759
3671166	0.1321	0.37245	-0.46516	3.64339
3671167	0.78401	0.00818	0.19341	3.03601
3671168	-0.29023	0.10136	-0.386	1.95054
3671169	0.60325	0.21758	-0.22519	1.72995
3671170	0.57555	-0.70942	-0.24521	1.07653
3671172	0.09443	0.51845	-0.16445	2.22637
3671173	0.66805	-0.40478	-0.51981	1.97601
3671174	-0.6587	-0.84014	0.45867	1.52491
