GENE	Col 0	Col 1	Col 2	Col 3	Col 4	Col 5	Col 6	Col 7	Col 8	Col 9	Col 10	Col 11	Col 12	Col 13	Col 14	Col 15	Col 16	Col 17	Col 18	Col 19	Col 20	Col 21	Col 22	Col 23	Col 24	Col 25	Col 26	Col 27	Col 28	Col 29	Col 30	Col 31	Col 32	Col 33	Col 34	Col 35	Col 36	Col 37	Col 38	Col 39	Col 40	Col 41	Col 42
VNG6232G	0.057222	0.356738	0.199868	0.192532	0.208880	0.477531	0.091479	0.535062	-1.603277	0.327295	-1.777044	0.287108	0.507871	0.529093	0.511530	0.107394	0.043645	-1.018949	0.318907	0.403899	0.511530	0.055618	0.535062	-0.191381	0.203455	0.031202	-1.128773	-0.479363	0.256403	-0.286029	-1.453520	-0.047606	0.025115	0.177390	0.211202	0.094645	-0.091584	-1.108970	0.054732	0.325156	-1.427950	-2.469175	-0.420539
VNG5175H	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062	0.535062
VNG2603H	-0.921560	0.012185	0.002724	-0.753663	-0.334487	-0.225687	0.219424	0.169573	0.460181	-0.358241	-1.244999	-1.713459	-1.173034	-0.951646	-1.123715	0.145521	-0.075317	-0.917683	-0.485709	0.304378	0.186058	-1.213657	-0.163245	0.051196	-0.485709	0.063735	-1.507915	-3.734441	0.334633	-1.681837	-1.502048	0.093286	-0.300916	-1.867414	-0.345704	-0.163245	-0.815647	-0.043774	-0.674605	-1.110131	-1.735770	0.069968	-0.847325
VNG0729H	0.354195	0.477531	0.466146	0.192532	0.201946	-0.014846	0.425238	0.363712	-1.091796	0.451425	-0.808566	-0.101402	0.115160	0.235184	-0.388690	0.035558	0.305996	-0.702858	0.165791	0.116171	0.113769	-0.018437	0.499488	-1.007701	0.310651	0.104792	-0.713942	0.473231	-0.457069	0.150099	-0.708220	-0.573760	-0.708220	-1.337913	-1.408527	0.476967	0.180048	0.435232	0.507871	-1.102033	-0.934502	0.063410	-1.275236
VNG2567C	0.203890	-0.624175	-0.281060	-0.045247	-2.192933	0.009529	-2.310084	0.287108	0.395677	-1.453008	-1.333366	-0.195962	0.336939	0.080523	0.112669	0.035558	-1.216536	-0.382907	-0.767764	-0.143023	0.441015	0.253787	0.120210	-1.007701	0.460181	-0.005295	-0.305445	-0.535120	0.158298	-0.029390	-0.431717	0.093286	-0.050256	-0.154815	0.211202	0.058883	-0.765692	-0.230201	0.423680	0.033902	-0.374117	-0.553708	0.076046
VNG2563H	-1.177954	0.213736	0.460181	0.148783	0.341949	-0.994327	0.176637	0.442319	-0.041850	-0.405060	0.349978	0.102982	0.438240	-1.765258	0.437397	-0.497732	-0.524785	-0.651524	0.498569	-0.034982	-1.113290	-0.300916	0.120210	0.012185	-1.144147	-1.356401	0.251211	-0.381834	-0.165897	-0.204466	-1.202041	0.480012	0.279244	0.481897	-0.345704	-0.686175	0.459684	-2.682269	-0.934293	0.491108	-0.099883	0.473875	-0.205981
VNG0324G	-1.487686	0.128551	0.087903	-1.501686	-0.839404	-0.440695	-0.713942	0.401248	-0.825545	0.175470	-0.808566	0.387888	-0.170731	-0.800845	0.433588	-0.026869	-0.121068	-0.317739	-1.078659	0.199868	-1.128773	-0.865271	0.520754	0.126596	-0.691632	-0.589756	-0.023162	-0.217663	0.136699	0.300786	-0.746279	-1.529733	-1.525633	0.411579	0.502453	0.452110	0.115160	0.221339	0.496912	0.508496	-1.099123	-1.033378	0.144706
VNG0527C	-1.265219	-1.803096	-1.268199	-0.961631	-0.154815	-1.304456	-0.511468	-0.797469	-0.615246	-1.311323	-0.721683	-0.540239	-1.614796	-1.481483	-0.851121	-0.289519	-0.505086	-0.257695	0.015291	0.128551	-1.463931	-0.973763	-0.761098	-1.289478	-1.078933	0.077853	0.344956	-0.117569	-0.989909	0.074191	-0.836069	-1.647537	-1.643583	-1.332473	-0.315075	-0.876047	0.245091	-1.557410	-0.659816	-0.233148	-0.984417	0.047719	0.082402
VNG2473G	0.503109	0.109153	-0.818514	0.490697	0.085036	0.499488	0.520754	0.188108	0.239280	0.529093	-0.995562	0.096711	0.510145	0.520754	0.520754	0.145521	0.291223	-1.109496	0.477531	0.394820	0.511530	-0.176499	0.499488	0.491529	-0.253799	-1.054445	-0.602555	0.323643	0.496912	-0.713942	-1.065165	-0.573760	-0.708220	0.515224	0.520754	0.329398	-0.542668	0.212542	0.520754	0.188108	-1.388243	-0.426541	0.245091
VNG0916G	-0.607993	0.428174	0.399750	-0.014846	0.377731	-0.379412	-0.763667	-0.317739	0.269981	-0.593503	-1.083508	-0.243773	-1.210401	-0.233148	-0.489583	-1.034619	-0.397549	-1.464535	-0.910112	0.106690	-0.753663	0.035558	0.065260	-0.393891	-0.844269	-0.794077	-1.317694	0.442319	-1.427950	0.111182	-0.122008	-0.212852	-0.456136	0.094645	-0.345704	-1.142727	-0.171691	-1.056978	0.014285	-0.942578	-0.579140	-0.270990	0.032539
