"GENE"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"
"VNG0019H"	-2.77258872223978	-1.00785792539965	-0.750776293396582	-0.933945667112876	-1.09362474715707	-0.331285709933913	-0.691149177897272	-7.69301774844989	-2.46392824340281	-0.791863153499103	-0.122167633974208	-2.53451715034133	-2.45806999583444	-1.69281952137315	-9.10598035665194	-0.154317360384357	-1.30933331998376	-0.396009949337409	-0.295714244149045	-0.681218609694672	-3.49660756646681	-0.891598119283784	-1.89047544216721	-2.45923890303942	-0.553385238184787	-0.827822083886547	-1.39432653281715	-0.908818717035454	-3.13729583787578	-1.09362474715707	-1.43129172705063	-2.1803674602698	-3.83044301843572	-0.986176859338322	-2.57177258280966	-1.99510039324608	-0.324346056823372	-2.51207231786077	-1.87080267656851	-1.46533756846034	-0.539568092631645	-0.898942093539542	-0.805196684368568
"VNG0021H"	-1.08175517160169	-0.709276562489829	-2.24431618487007	-1.00785792539965	-2.09557092360972	-1.05843049903528	-0.391562202939173	-2.39032400730205	-0.61803970807314	-2.87883852208249	-0.544727175441672	-2.13707065451647	-1.63475572041839	-1.35479569406052	-0.918793862092274	-0.449416995637347	-1.1679623668029	-1.18417017702976	-0.484508315448617	-2.33510828469961	-0.205794912979597	-0.752897184965719	-0.216913001563574	-0.657780036722654	-0.770028224895903	-0.509160344446929	-3.06187207605854	-0.693147180559945	-3.21637894466961	-2.92620621090538	-11.5029751341171	-1.50959257746438	-1.77195684193188	-4.35052796761451	-0.360969868221613	-0.869884359059999	-2.98380370268872	-1.61445045425764	-0.742337424750717	-0.576253429088446	-0.776528789498996	-3.00983119793349	-0.221894331913778
"VNG0028C"	-1.93794197940614	-0.311974765020825	-3.03447310187042	-2.54338357954698	-4.03985637693803	-0.331285709933913	-2.69414729593322	-0.616186139423817	-3.29144651770304	-1.8578992717326	-0.193584749072665	-3.56489347433295	-2.70905070143579	-1.6094379124341	-2.72876324269975	-0.675307262431614	-3.81671282562382	-0.00200200267067308	-2.28278246569787	-0.481266821524446	-4.50986000618377	-1.83258146374831	-1.62455155024415	-0.424647927524938	-3.71727892863563	-0.211956361923645	-0.403467105445491	-1.21739582465808	-1.41058705368894	-2.61866663996752	-0.489390343045926	-1.90380897303668	-4.79633069144925	-3.87762157871081	-2.57177258280966	-2.18925640768704	-0.0565703514883944	-3.10331748423393	-2.17155683058764	-3.12129549652934	-0.207024169434327	-0.898942093539542	-1.15836229307388
"VNG0034H"	-0.679244275390954	-0.555125882662571	-2.81008292666736	-1.14570389620196	-2.5307411861318	-0.3078847797693	-0.7339691750802	-0.539568092631645	-0.275753501586507	-1.74296930505862	-10.486883869137	-0.500875292912823	-1.8578992717326	-1.03563748950672	-0.423120043346885	-0.675307262431614	-2.54465665419377	-0.964955903855436	-0.778705068921592	-0.119910296672558	-0.339677367570161	-4.61018272781164	-0.522560879984412	-2.6159269122264	-0.433864582629862	-0.441610554744518	-3.27016911925575	-0.103140758919513	-1.42711635564015	-1.07587280169862	-3.27016911925575	-4.08637639257292	-2.62831523308336	-0.474815186242958	-0.941608539858445	-0.757152510535858	-2.58494800396823	-0.454130280089445	-2.52198565802942	-0.560366069326127	-5.01615047478437	-18.0985972447833	-0.869884359059999
"VNG0042G"	-0.262664309476493	-0.757152510535858	-1.65025990695436	-3.69288747551148	-2.62554897959047	-4.33514304877503	-1.89711998488588	-4.91441643635571	-2.46392824340281	-1.24479479884619	-1.36257783450257	-0.371063681390832	-3.34955414851032	-3.17965511171492	-2.06356819252355	-1.09661428600544	-0.623621117911335	-0.187535123846842	-0.233193887167711	-2.25379492882461	-4.65016755191883	-5.02829022933498	-2.48771057712073	-0.657780036722654	-10.1417447416604	-0.719491155899547	-1.11779510808488	-0.825536368605691	-1.74296930505862	-0.2484613592985	-0.462035459596559	-1.16475209117265	-0.412489723045129	-5.61302811138774	-1.1679623668029	-6.18020667170486	-2.45573627248822	-0.247180129142451	-2.12026353620009	-3.55434856115633	-0.00400802139753882	-0.295714244149045	-0.49758039701597
"VNG0049H"	-1.59454929994035	-0.363843433417345	-0.896488104577975	-2.56394985712845	-0.289016295464918	-2.45923890303942	-0.410980288796275	-3.66126428708096	-1.3509272172826	-0.644357016390513	-0.115410851511328	-1.43548460531066	-3.94248221291285	-3.27016911925575	-1.4961092271271	-2.0874737133771	-3.36969871460278	-1.23787435600162	-4.47414192358169	-2.76145097782933	-13.5080258582163	-2.15416508787577	-9.95057916006998	-1.68200860526894	-1.51868354916564	-0.282362910974181	-1.51412773262978	-0.0640053299759124	-1.41058705368894	-2.36552489276792	-2.76145097782933	-0.767870726755882	-0.261364764134408	-0.427710717055484	-0.941608539858445	-1.37832619147071	-1.41469383564159	-0.41855034765682	-1.83885107676191	-4.06867681547352	-0.0345914447696191	-0.84863208340034	-0.167235919375914
"VNG0050C"	-4.41454982637944	-3.75501925661848	-0.923818998294947	-1.2623083813389	-3.24933503235291	-4.43121687886465	-2.30258509299405	-2.57965698633381	-0.225646681532328	-2.16282315061889	-0.465215112513938	-1.66600826392249	-6.77672701657573	-2.73490765527209	-3.37552963491358	-3.34670919637809	-2.22562405185792	-0.0397808700118446	-0.949330585952355	-2.12863178587061	-2.65214256916391	-5.83960219779874	-4.32753844938981	-4.64912207351727	-3.57555076880693	-1.93794197940614	-0.0212236364516267	-2.1982250776698	-2.77579385318873	-7.43538802106451	-0.731888008876376	-1.90380897303668	-4.79633069144925	-4.67881672615639	-3.13960264397369	-3.4673371841667	-0.853315932712767	-0.406465608441748	-2.04022082852655	-5.54934612135178	-0.0555127099302588	-0.391562202939173	-0.25618340539241
"VNG0053H"	-1.88387475813586	-13.3086929555958	-1.55116900431012	-0.106472244510517	-0.320205264157341	-0.187535123846842	-1.79576749062559	-0.785262469467751	-0.153151179494175	-1.35867919408692	-1.70374859190534	-0.158995731490458	-2.58893472021205	-2.86470401114759	-1.97328134585145	-1.9241486572738	-1.08175517160169	-0.156653810045377	-1.70374859190534	-0.365283318475333	-0.679244275390954	-1.77785656405906	-0.522560879984412	-1.14885350510486	-0.455706324544911	-0.84863208340034	-0.891598119283784	-1.21739582465808	-0.457284856837961	-0.371063681390832	-1.40649706843741	-2.31364604035347	-0.412489723045129	-2.16282315061889	-0.154317360384357	-2.18925640768704	-1.14570389620196	-0.0294288106908122	-2.07944154167984	-0.332679438382517	-0.236988958136263	-1.78976146656538	-0.949330585952355
"VNG0062G"	-0.161343150408763	-0.214431610712188	-0.923818998294947	-3.33260459019654	-2.41687423939617	-0.774357235985488	-0.266573109241546	-1.44816976483798	-0.0888312137066157	-4.63872696951693	-4.73641847259805	-1.30563645810244	-0.689155159290408	-0.0855578883616465	-0.0682788407532944	-1.4961092271271	-0.100925918589961	-1.03282454813011	-0.393042588109607	-0.132389188045746	-0.572701027484078	-1.18090753139494	-3.13040717688059	-0.113168698105638	-0.0801260444792849	-1.25176346816228	-1.8773173575897	-2.00248050054371	-0.502526820951296	-1.18744350237473	-1.29828348379718	-0.569161200778954	-0.0523464803722092	-0.301105092783922	-0.105360515657826	-0.06720874969345	-1.33560124680437	-0.0866478067256722	-0.403467105445491	-0.560366069326127	-1.88387475813586	-1.59948758158093	-1.65548185093551
"VNG0064G"	-1.44816976483798	-14.012742727494	-0.486133011175619	-0.147340587898709	-1.51868354916564	-1.18090753139494	-3.44201937618241	-0.141563564321787	-0.0714960017050699	-2.63108915996608	-0.368169323364468	-0.0544561857960589	-0.114289146402128	-0.774357235985488	-2.32995628979018	-1.33941077522104	-1.12701176318981	-1.50959257746438	-1.61445045425764	-0.544727175441672	-0.311974765020825	-1.77785656405906	-0.886731929632611	-0.208254938820459	-0.800732391239883	-0.562118918153541	-1.77785656405906	-1.76026080216868	-0.228156093137754	-0.158995731490458	-2.69859504233145	-2.13707065451647	-2.43611648561857	-2.61455985801487	-0.154317360384357	-2.06356819252355	-2.82514597297846	-0.638658995275876	-0.583396316600826	-1.89711998488588	-0.76142602131324	-2.09557092360972	-2.70455631184795
